Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
85,640,351,3.25,13,2,110.7,3.7,25.6,136,342,507,11,0.8,19.1,7.82
10,307,151,10.8,7,4,98.5,1.7,88.6,130,4,226,14,1.1,20.7,7.62
60,2525,648,1.37,15,7,98.4,2.6,137.6,98.7,501,647,11,1.5,16.2,7.93
10,1127,202,4.23,64,4,94.3,61.2,123.3,104.8,898,1075,89,2.6,18.3,7.43
268,78,829,3.89,2,2,100.8,2.6,86.2,53.2,12,72,6,0.7,16.2,7.68
305,4302,1043,0.46,7,5,102.9,0.7,3.1,62.9,18,86,10,0.86,16.3,7.82
76,3076,854,0.78,1,7,101.1,0.9,34.5,69.5,37,69,5,3.1,17.9,7.94
205,509,528,3.55,4,2,104.8,18.7,43.1,87.6,67,153,30,1,16.8,8.06
21,809,231,10.73,4,4,102.8,5.6,69.7,132,5,174,20,3,22.4,7.79
185,1144,599,1.72,3,2,106.8,18.5,25.6,87.1,820,876,27,1,15.8,7.83
320,1079,1200,0.86,2,3,103.1,0.3,5.2,99.1,4,54,30,3.2,14.3,7.91
91,546,159,17.79,5,4,100.7,21.1,90.7,119.6,231,547,70,7,22.1,7.11
238,458,1020,4.2,2,8,103.4,1,124.6,49.9,92,249,7,0.85,14.4,7.9
180,406,627,4.6,6,8,97.9,6,648.8,92.6,976,1156,14,1,14,7.68
4,2373,542,4.78,5,8,98.3,7.2,275.5,110.7,618,825,16,0.8,15.8,7.5
15,270,107,18.51,8,3,88.9,21.4,120,190,155,489,65,8.2,20.1,7.43
80,304,413,6.13,9,4,100.5,9.8,129.6,64.7,142,261,21,1.4,17,7.21
320,414,455,0.69,0,3,109,1.6,2,521,1,99,7,0.55,21.9,8.41
5,11909,956,2.29,2,8,92.4,7.8,88.2,73.6,183,280,19,1.6,16.4,7.41
10,82,228,30.01,24,6,57.8,24.3,85,256,85,604,75,5.3,19.5,7.17
250,9741,1047,1.32,1,3,102.5,0.4,6.3,56.3,1,74,7,1.8,18,7.79
198,896,695,5.07,2,3,97,6.4,410.6,72.3,56,236,16,1.1,16.6,7.43
3,2818,482,3.17,4,2,114.1,3.9,56.3,94.4,374,525,28,2,19.9,7.11
6,914,374,7.44,57,2,81.9,102.1,1106,359,415,700,168,2.7,19.3,7.28
10,2822,201,10.82,11,4,95.9,24.3,73.8,128.1,390,651,62,5.4,20.8,7.43
15,8431,486,3.45,4,3,106,12.2,57.1,163,118,319,36,1.6,22.7,7.67
15,1114,257,9.42,6,5,111.7,3.8,46.4,113.1,48,296,18,1.5,20.7,8.28
320,19,725,1.99,1,6,100.5,10.5,121.1,70.4,13,63,16,0.68,14.6,7.65
30,216,297,6.55,18,2,120.7,63,45.2,211,1467,1665,93,1.5,20.8,8.46
18,6567,423,7.42,1,6,103.6,1.8,16,130,1,217,14,1.2,21.4,7.86
363,786,1005,0.73,1,1,102.8,13.4,14.6,121.5,9,70,18,0.5,13.2,7.65
53,1027,1009,0.39,2,8,99.7,0.7,9.7,80.6,20,64,8,1.5,11.4,7.7
518,2689,864,1.83,1,2,103.1,1.1,37.3,162,2,164,5,0.4,17.3,8.11
70,3451,746,2.29,1,6,101.8,3.3,40.2,218,2,137,13,0.65,20,8.06
131,2139,553,3.78,4,1,116.7,3.3,30.5,123.7,18,162,17,1.5,17.6,8.49
152,716,371,3.95,12,3,99.9,2,51.2,318,14,267,16,1.4,19.5,8.34
37,3916,333,3.2,6,6,109.2,0.6,187,245,17,251,13,1.2,21.4,7.9
10,4846,333,4.64,60,3,158.1,39.2,52,243,131,549,94,2.3,22.7,8.71
425,293,622,5.11,1,1,101.4,7.4,47.2,103.2,1,184,23,0.8,17.9,7.81
457,30.5,722,5.34,10,1,105.7,9,313,211,28,248,25,0.93,15.8,8.26
55,1571,385,3.27,1,1,111.5,1.3,49.6,454,0,182,11,5.2,25.7,8.27
376,166,1049,1.93,2,6,100.4,1.4,3.7,104.2,18,80,4,0.25,11.3,8.07
15,6309,736,14.83,8,8,98,1.2,574.9,59.6,38,201,43,17,13.5,7.5
320,1040,820,1.42,14,1,101.2,2.1,27.3,96.9,308,498,9,0.35,16.1,7.92
76,1750,613,6.83,4,3,109.2,0.5,33.2,111.1,45,159,7,0.5,14.3,8.2
213,258,701,3.51,5,5,98.6,0.5,6.3,37.5,2,97,2,0.25,15.8,7.26
171,642,774,15.62,4,8,99.8,1,41.3,40,22,137,7,1.4,12.6,7.26
26,2438,342,2.06,4,0,112.6,9.1,14.7,197,11,143,19,0.38,22.3,8.58
2,2001,663,1.25,1,0,117.6,12.6,33.4,195,2,84,22,0.65,21.2,8.54
20,3827,485,16.95,4,8,98.7,1.6,238.2,49.3,74,218,17,4.2,15.8,7.08
14,8098,665,10.7,4,6,102.4,2,461.1,81.1,217,417,15,2.8,14.5,7.61
5,2150,449,3.11,7,5,107.6,5.6,416,100.4,1077,1261,15,1.8,16.6,7.79
183,1404,888,2.41,1,7,97.3,0.3,46.4,57.9,8,78,5,0.45,15.1,7.66
15,5139,470,5.07,42,5,94.5,29.2,214.3,108.4,1003,1242,54,1.7,12.5,7.28
655,521,1422,0.8,1,5,100.8,2.6,16,46.8,6,45,10,4.2,9.1,7.66
11,1376,607,1.27,1,0,99.8,9.9,6.3,118.8,2,54,15,0.4,18.4,7.74
220,1139,694,3.57,4,7,99.5,2.2,275.5,56,448,578,6,0.8,12.5,7.16
488,384,1108,0.62,1,0,100.1,0.3,0,101.5,3,62,3,0.25,15.2,8.04
259,787,787,2.53,6,7,97.8,3.7,435.2,44.4,166,263,11,1.1,11,7.19
9,20582,790,1.21,2,4,100.1,0,65,72.5,21,102,8,1,16.1,7.82
3,3494,847,0.84,2,4,107,0.5,8.4,63.4,23,81,5,1.3,18.3,7.88
320,2423,690,11.27,5,4,96.5,14.7,160.7,115.9,6,274,42,2.2,12.2,7.69
329,121,863,0.62,1,2,99,3.9,30.9,110.5,4,46,6,0.5,16.6,7.91
220,151,672,9.14,4,7,95.6,4.5,248.1,47.8,5,199,15,0.75,12.6,7.24
20,4716,605,11.09,6,8,100.5,8.3,36.4,89,19,259,26,1.2,14,7.62
53,1027,1009,0.69,2,8,99.3,1.1,12.9,81.7,39,72,3,1.3,11.9,7.63
349,3305,655,0.4,1,1,103.8,0.8,3.1,119.7,0,80,5,0.25,19.2,8.14
15,2371,732,2.07,14,8,107.8,5.3,115.3,125.7,32,156,10,0.75,15.8,8.52
205,509,528,3.08,4,4,102.4,16.8,20.1,93.9,26,132,26,0.78,15.4,8.17
185,1144,599,1.15,3,6,102.1,18.8,10.9,89.6,707,792,28,0.7,14.8,7.91
10,605,339,2.99,2,4,95.1,2.8,344.1,108.2,421,479,8,0.38,16.4,7.24
244,2387,1034,1.44,0,0,100.7,1.3,61.3,64.3,70,108,11,4.1,12.8,7.77
30,122,237,2.88,1,5,94.7,2.3,19.7,127.7,5,98,12,0.58,17.4,7.56
200,87,576,3.57,1,4,101,2,5.2,65.6,27,99,7,0.28,12.5,7.57
15,270,107,15.91,6,2,90.7,14.1,41,204,4,261,51,6,18.9,7.62
91,16548,902,1.04,2,0,101.3,1.3,23.5,69.8,29,109,10,2.9,14.9,7.71
10,12429,383,3.68,2,0,107.5,14.2,12.9,157,103,346,47,2.4,21.9,7.91
442,1060,976,1.38,2,7,102.6,0.8,6.2,63.3,5,80,4,0.87,13,7.93
17,2368,322,2.25,3,7,100.9,10.4,259.5,119.2,276,362,25,2.8,17.1,7.58
10,82,228,24.2,7,1,48.9,14.7,158,251,1,464,79,4.6,18.5,7.15
10,307,151,5.76,3,4,91.4,1.2,60.1,135,3,157,10,1,19.4,7.52
10,305,248,3.68,7,0,114.5,3.9,7.4,166,4,155,18,0.92,20.6,8.33
305,4453,973,0.4,3,0,108.1,0.8,1,71.1,23,70,4,0.25,16.6,8.21
60,2525,648,1.44,3,8,101.3,6.4,122.3,81,340,411,9,1.4,14.9,7.92
85,640,351,2.07,17,8,102.5,4.5,75.4,152,502,626,14,0.81,17.2,7.63
268,78,829,3.74,2,8,99.2,2.4,24.6,57.1,30,86,6,0.78,13.4,7.61
305,4302,1043,0.28,8,0,101.5,0.6,2,62.5,20,75,9,1,15.5,7.86
21,809,231,5.76,1,4,108,2.6,55.6,167,0,138,13,1.9,20.8,8.02
76,3076,854,1.27,3,7,101.5,2.5,43.5,64.8,92,120,9,6.4,17,7.76
91,546,159,11.77,2,6,112.5,8.2,125.9,132,1,197,32,2.5,20.3,7.72
320,1079,1200,0.8,1,2,102.3,0.3,5.2,101.9,19,55,48,4.5,14.3,7.96
10,1127,202,3.22,79,6,101.1,70,90.6,105.9,988,1175,93,2.8,17.4,7.49
80,304,413,3.27,9,8,101.1,7.6,88.4,67.9,111,230,17,0.82,17.3,7.22
320,414,455,0.63,0,8,103.6,1.8,14.6,525,0,102,6,0.37,19.6,8.14
10,2822,201,7.06,5,7,101.4,17.7,71.7,141,249,448,52,3.5,20.6,7.61
6,914,374,8.93,58,8,72.2,104.3,857,365,423,679,138,1.8,17.2,7.26
3,2818,482,1.78,7,8,109.3,2.6,34.1,97.5,336,532,28,1.4,16.7,7
15,8431,486,2.45,1,7,109.8,4.4,34.1,160,102,313,29,1.1,20.4,7.78
15,1114,257,9.24,17,1,109.4,11.7,65,132,97,319,30,2.2,19.9,8.15
320,19,725,2.86,4,8,100.9,13,111.2,72.5,13,77,20,0.65,15,7.72
30,216,297,9.02,28,8,115,95.3,122.3,222,1595,1903,141,1.5,18.3,8.31
18,6567,423,7.69,2,7,100.5,2.9,22.6,151,2,181,16,1.4,20.2,7.77
363,786,1005,1.26,1,6,103.3,15.8,43.5,124.8,18,70,29,0.66,12.9,7.59
238,458,1020,6.42,12,8,99.1,2.9,33.1,44.5,137,344,21,1.8,15.3,7.63
518,2689,864,4.34,1,4,100.1,7.6,410.6,145,96,236,23,5.4,16,8.05
180,406,627,3.37,5,8,98.3,5.5,387.3,78.9,683,816,13,2.2,14.1,7.59
4,2373,542,2.41,4,8,93.4,3.3,96,76.5,368,488,7,0.7,15.8,7.52
70,3451,746,3.46,5,7,98.1,10.3,727,179,117,230,20,2.9,18.1,7.99
425,293,622,13.36,10,7,93.5,13.3,686.7,97.5,57,507,102,48,18.3,7.57
131,2139,553,5.27,22,7,104.2,6.3,648.8,130,132,335,35,2.9,16.9,7.88
5,11909,956,1.05,1,8,99.1,2.5,71.7,66.5,114,188,8,1.3,16.2,7.54
152,716,371,6.82,23,6,97.5,20.9,547.5,245,387,655,54,7.8,17.6,8.02
250,9741,1047,0.73,3,8,100.2,0,2,58.6,0,58,4,0.86,16.1,7.92
457,30.5,722,9.86,12,5,103.3,15.3,1046.24,152,85,363,32,3.4,16.9,8.29
198,896,695,1.65,2,8,100.8,4.5,47.1,85.8,1,98,8,0.36,16.1,7.8
37,3916,333,5.68,16,5,98.7,17.4,866.4,196,359,575,37,7.4,18,7.84
10,4846,333,5.39,42,4,99.8,33.9,260.2,193,409,639,66,8.5,19,7.82
55,1571,385,7.42,5,7,93.1,7,727,410,164,480,318,260,22,8.15
11,1376,607,2.17,1,0,97,10.7,35,101.7,71,116,17,1.1,15.8,7.75
376,166,1049,0.81,1,0,99.4,2.7,4.1,122.2,35,59,4,0.68,8,8.05
320,1040,820,3.14,6,8,98.9,4.9,125.9,110.5,244,396,29,6.8,13.4,8.07
320,414,455,2.96,1,6,106.7,1.3,1,522,1,107,6,0.31,19.2,8.1
76,1750,613,5.82,3,0,104.8,1.5,15.8,137,228,294,4,0.5,13.1,8.12
15,2371,732,10.33,12,8,96.2,13.7,2419.17,139,179,790,302,57,15,8.15
213,258,701,3.49,0,0,97.5,0.3,0,37.6,2,102,2,0.55,14.8,7.36
171,642,774,5.48,1,2,98.9,0.8,3.1,58.8,5,56,2,0.37,12,7.63
6,914,374,6.5,64,6,74.6,95.6,808,361,452,698,123,1.9,18.1,7.26
3,2818,482,2.64,5,7,121.3,23.9,36.4,100.3,398,538,35,2.1,16.7,7.16
20,3827,485,7.41,4,3,94.3,1.1,31.3,60.7,73,151,6,0.55,14.8,7.53
14,8098,665,5.06,1,4,103.6,1.2,135.4,86.2,171,294,10,1.2,14.6,8.04
5,2150,449,3.95,3,4,104.6,7.3,86.2,104,997,1171,15,2.1,14.1,7.45
183,1404,888,1.55,0,8,100.7,0.8,8.5,55.6,9,51,3,0.72,13.4,7.63
10,605,339,4.65,0,8,96.2,4.7,131.7,96.4,308,396,8,0.72,14,7.37
15,5139,470,5.39,37,7,92.1,23.1,613.1,95.4,883,1145,44,2,10.8,7.13
238,458,1020,5.1,4,8,101.4,1,36.4,41.9,110,284,13,1,12.8,7.56
180,406,627,2.86,2,8,102.9,3.9,56.5,85.6,825,965,8,0.86,11.5,7.75
10,12429,383,3.38,1,0,98.1,21.8,86.2,166,209,401,59,3.2,19.4,7.67
4,2373,542,2.74,10,8,101.5,1.4,52,75.2,235,376,7,0.64,13.5,7.84
91,16548,902,1.21,0,7,101,0.6,16,72.9,30,98,6,1.1,13.5,7.8
655,521,1422,0.74,0,1,99.7,3.6,7.4,48.7,13,69,7,2.2,8.2,7.73
30,122,237,2.4,0,5,97.9,1.9,43.7,135,3,80,8,0.59,16.9,7.78
200,87,576,4.25,1,8,99.5,4.2,7.3,67,54,105,7,0.7,11.1,7.57
220,1139,694,3.11,3,7,98.5,1.6,93.2,64,657,769,5,0.84,11.4,7.13
17,2368,322,4.14,4,8,95.7,25.9,161.6,171,800,947,40,3.7,15.4,7.6
488,384,1108,1.43,1,8,100.6,0.7,5.2,84.4,2,121,3,0.34,11.7,8
259,787,787,1.49,3,6,99.8,3.3,59.1,55.1,250,328,9,0.94,10.1,7.23
10,305,248,4.65,22,0,111.4,12.8,19.9,183,305,500,32,0.8,18,8.49
349,3305,655,0.38,0,4,103.8,0.5,7.4,118.4,1,80,6,0.27,18.3,8.3
5,11909,956,0.92,0,5,100.8,0.7,14.3,62.8,60,115,6,2.1,14.1,7.61
10,307,151,5.29,1,1,96.1,1.1,148.3,141,2,170,8,0.98,18.3,7.67
85,640,351,3.95,12,8,97.8,13.3,151.5,176,784,938,19,1,15.2,7.56
250,9741,1047,0.69,1,0,102.8,0.6,1,58,0,52,3,0.92,14.3,7.83
10,1127,202,3.38,55,1,95,83.6,172.3,105.6,993,1122,107,2.4,16,7.42
305,4453,973,0.46,0,0,106,0.5,2,71,29,96,3,0.29,14.1,8.33
198,896,695,2.85,0,0,106.2,3.3,20.1,75.2,1,147,7,0.49,14.8,8
268,78,829,2.65,1,8,101.3,2.8,11,60.7,31,87,5,0.4,12.4,7.7
2,2001,663,1.3,0,8,118.8,4,59.1,161,20,83,13,0.84,17.1,8.68
205,509,528,3.53,2,6,102.8,19.7,63.8,91.1,75,178,31,1,14.9,8.1
9,20582,790,1.6,0,8,99,0.7,17.3,75.6,42,115,8,2.2,13,7.83
3,3494,847,0.81,0,6,104.2,2.1,6.2,62.6,66,96,6,0.75,16.1,7.79
305,4302,1043,0.45,6,0,99.1,0.4,0,66,20,82,12,0.66,13.2,7.91
185,1144,599,1.55,3,6,106.7,21.6,30.1,91.7,819,889,28,0.7,14.4,7.9
320,1079,1200,0.63,2,0,100.6,0.4,1,112,10,57,90,1.6,10.9,7.91
21,809,231,17.65,4,5,95.5,6.2,172.3,134,90,385,28,5.7,19.3,7.56
91,546,159,7.91,1,4,109.5,6.4,96,144,1,201,22,1.6,19.1,7.89
329,121,863,2.11,0,8,97.1,5.6,14.6,90.5,65,125,14,6.2,11,7.77
320,2423,690,12.05,2,0,100.7,13.5,152.9,101.7,14,280,39,2.5,8.9,7.55
80,304,413,4.69,7,0,96.9,8,275.5,68,143,259,22,1.1,12.3,7.23
220,151,672,10.61,1,0,98.4,3.3,125.9,43.6,0,193,15,1,7.6,7.14
20,4716,605,11.52,0,0,101.4,7.5,32.3,82.4,20,293,33,2,11.8,7.54
26,2438,342,4.17,4,8,108.7,15.2,131.7,237,506,693,34,2.5,14.7,8.61
10,2822,201,8.43,10,0,94.2,27.8,273.3,140,417,600,66,3.9,16.7,7.54
15,8431,486,3.15,1,0,106.9,7.9,38.9,167,181,367,33,1,19.4,7.85
15,1114,257,9.01,5,1,105.2,5.7,121.1,115,199,347,21,3.2,13.7,8.08
425,293,622,5.79,1,0,101.5,5.8,135.4,92.3,2,125,19,1,12.6,7.8
320,19,725,2.44,2,1,100.4,8.8,29.2,75.3,61,107,39,0.75,9,7.63
30,216,297,6.29,9,1,112,56,86.2,196,1675,1724,86,1.4,12.3,8.22
457,30.5,722,5.95,9,0,103.1,22.5,325.5,154,104,288,42,1.3,10.4,8.24
18,6567,423,7.35,3,0,104.5,3.4,17.1,142,20,149,13,1.3,14.7,7.84
55,1571,385,4.13,3,1,99.1,4.2,123.6,430,86,237,45,54,16.2,8.15
244,2387,1034,0.33,0,1,101.8,0.8,53.7,71.6,42,93,3,1.4,10.5,7.81
363,786,1005,0.52,0,4,102.5,16,13.4,131,19,50,21,0.44,9.1,7.63
518,2689,864,1.83,0,7,103.7,1.9,32.3,154,12,84,7,0.56,10,8.13
53,1027,1009,7.54,0,7,99,1.2,64.4,81.8,28,81,7,0.88,9.8,7.74
70,3451,746,1.94,0,8,98,3,146.7,202,1,96,15,2.4,12.5,7.93
442,1060,976,1.07,0,7,102,0.7,14.8,71.8,1,55,3,0.41,10.9,7.91
131,2139,553,3.35,0,8,108.5,5.6,26.2,133,70,167,16,1,11.4,8.08
152,716,371,5.17,5,7,99.8,11.8,127.4,273,222,418,36,1.8,11.3,8.06
60,2525,648,0.97,1,7,102.9,2.3,34.5,96.4,517,684,5,0.83,13.2,8.24
37,3916,333,3.83,0,8,111.8,2.2,115.3,222,52,221,27,2.1,13.3,7.98
10,4846,333,4.29,61,8,125.2,30.7,67.7,229,165,479,71,1.9,14.1,8.22
76,3076,854,0.33,1,7,100.3,1.2,36.4,69.8,41,102,3,1.6,15.8,8.09
15,270,107,14.5,1,7,89.6,17.7,86,227,6,283,48,4.9,14.3,7.66
10,82,228,18.2,7,6,61.6,9.6,62.7,262,7,430,50,3.5,14.3,7.25
11,1376,607,4.19,3,8,97.6,7.9,155.3,96.4,46,144,33,17,13.3,7.73
15,6309,736,4.18,4,8,97.8,0.5,14.8,78.5,30,93,17,0.65,9,7.63
320,1040,820,2.01,7,0,99.8,5.7,26.2,103.2,299,367,9,0.67,7.1,7.91
349,3305,655,0.39,1,5,102.3,2.3,0,118.8,0,61,5,0.22,14.9,8.09
15,2371,732,2.52,3,0,102.9,9.8,21.6,129,172,241,15,1.6,9.9,8.15
213,258,701,3.44,1,7,99,0.4,0,37,5,86,4,0.24,11.6,7.39
171,642,774,6.89,2,8,98.9,1,2,52.8,4,62,4,0.25,8.8,7.6
205,509,528,2.88,5,2,105.6,16.3,18.7,95.3,71,126,24,0.73,10,8.04
20,3827,485,6.96,8,8,96.4,1.9,290.9,61.1,101,181,7,0.66,10.3,7.35
185,1144,599,1.27,7,3,102.1,23.6,12.2,89.7,777,828,29,0.64,10.5,7.73
14,8098,665,7.07,2,4,103.5,1.6,88.2,88.5,231,465,11,1.7,9.3,7.89
5,2150,449,6.71,12,3,98,11.8,209.8,127,1563,1827,29,3.8,10.1,7.45
15,5139,470,7.75,31,7,95.7,18.3,238.2,99.4,1367,1622,46,4.6,8.7,7.24
10,605,339,6.15,2,7,98.9,6.1,15.6,91,300,363,11,1.3,12.2,7.42
376,166,1049,0.34,0,8,100.6,1.9,59.4,137,4,10,4,0.21,7.7,8.25
220,1139,694,3.56,3,6,95,1.3,50.4,58.9,587,674,11,0.73,8.8,7.22
200,87,576,33.43,5,8,104.2,2.3,93.4,47.2,21,255,20,4.6,9.6,7.01
259,787,787,2.64,3,6,97.2,2.2,45.9,44.9,154,226,9,0.75,8.6,7.36
488,384,1108,0.91,1,2,99.4,1.2,2,84,8,37,3,0.35,7.6,7.87
76,1750,613,2.05,1,3,110.3,0.8,4.1,144,87,151,6,0.39,9.5,8.49
17,2368,322,5.05,7,4,98.3,15.7,48,142,508,672,31,49,11,7.61
85,640,351,4.76,2,3,100.6,7.7,75.4,118.8,438,613,63,32,11.7,7.62
9,20582,790,2.34,2,7,99.2,1.4,37.3,73.6,96,205,11,2.7,9.8,7.77
2,2001,663,1.14,1,2,101.6,5.7,14.6,153,123,180,12,1.9,14,7.99
268,78,829,7.19,2,4,100.7,2.5,3.1,32.1,19,72,17,5,9.4,7.36
183,1404,888,1.73,0,8,99.7,0.6,38.4,63.1,11,46,3,0.27,11,7.75
238,458,1020,3.28,2,6,100.4,0.5,26.2,46.8,114,242,6,0.33,8.8,7.61
320,2423,690,11.49,1,8,95.7,10.3,41.9,73.3,17,239,40,2.8,6.8,7.49
655,521,1422,0.46,0,8,100.9,2,5.2,48.4,1,10,5,0.48,7.2,7.66
180,406,627,2.06,23,8,101.8,1.2,40.2,95.7,1201,1332,5,0.26,8.3,7.55
329,121,863,1.67,1,5,96.3,6.2,17.1,90.2,94,128,13,5.3,9.1,7.74
4,2373,542,1.67,2,8,99.2,0.6,298.7,87.2,397,485,3,0.26,10,7.55
220,151,672,10.4,2,8,97.7,5,48.7,41.5,1,138,16,0.6,7.5,7.21
320,414,455,0.58,0,6,104.8,4.4,2,522,0,84,6,0.27,15.6,8.17
5,11909,956,0.75,14,8,102.3,0.6,21.6,63.5,80,126,3,0.71,11.1,7.75
20,4716,605,11.95,2,5,101.2,8.4,43.2,78.7,20,253,35,2.3,7.8,7.57
250,9741,1047,0.58,6,8,100.6,0.4,1,58.7,12,71,3,0.77,10.8,7.8
26,2438,342,3.09,4,0,117.7,12.9,57.3,206,528,666,23,0.92,13.6,8.71
198,896,695,1.59,7,8,105.6,2,7.4,78,2,103,6,0.25,10.9,7.89
6,914,374,8.8,86,2,77.6,114.9,517.2,389,452,817,181,3.2,15.6,7.37
3,3494,847,0.46,2,2,114.6,1.6,7.3,68.6,19,73,6,0.36,14.2,8.32
3,2818,482,2.29,10,3,105.6,23.4,13.2,98.1,504,556,35,0.82,13.4,7.08
15,1114,257,7,7,8,104.4,2.9,40.2,104.5,296,525,13,3.1,11.2,7.88
18,6567,423,6.96,8,8,99.2,2.5,28.2,133,44,157,13,2.5,11.4,7.66
363,786,1005,0.73,2,8,100.1,20.8,18.7,115,23,40,26,0.4,9.5,7.54
244,2387,1034,0.46,0,8,99.9,0.7,119.8,69.1,44,69,4,2.1,7.8,7.68
53,1027,1009,0.75,1,2,98.9,0.8,2,82.9,43,55,3,0.7,4,7.64
518,2689,864,5.11,3,8,100.3,3.5,43.5,76.5,43,165,88,64,9.2,7.73
91,16548,902,1.15,2,8,97.6,0.6,3.1,73.8,43,67,3,0.8,9.1,7.58
70,3451,746,5.76,1,8,99.3,3.5,344.8,90.6,37,216,143,80,10.2,7.66
30,122,237,13.07,3,8,96.4,3.7,613.1,130,48,306,19,3.5,15.5,7.49
10,12429,383,3.95,10,7,96.1,36,214.3,168,324,516,67,3.6,15.6,7.59
442,1060,976,2.36,2,8,101.5,0.4,27.5,68.7,8,69,6,1.5,8.4,7.76
425,293,622,13.59,37,6,101.5,26.6,1553.07,63.7,270,698,139,25,11.4,7.32
10,307,151,8.38,4,7,98.7,2.7,517.2,141,159,429,24,4.3,17.1,7.44
131,2139,553,4.29,6,7,105.7,6.1,114.5,126.9,106,207,20,1.7,11.7,7.82
152,716,371,16.49,32,8,95.5,21.6,8650,171,567,1761,780,350,11.1,8.13
10,305,248,9.35,94,7,100.7,23,1986.28,95.4,884,1955,127,17,14.5,6.83
305,4453,973,0.35,3,2,104.8,0.8,1,64,27,64,4,0.6,11.2,7.91
10,1127,202,5.61,0,8,91.2,41.7,613.1,98.6,885,1106,85,3.4,14.3,7.29
37,3916,333,10.29,12,8,98.5,14,1046.24,134,308,786,318,175,11.4,7.73
60,2525,648,1.55,2,8,101.5,0.8,59.4,89,323,375,5,1,9.8,8.29
305,4302,1043,0.4,8,2,100.8,0.5,4.1,66,22,76,7,3,9.8,7.77
457,30.5,722,9.28,11,8,100,17.7,648.8,89.5,419,727,66,10,13.1,7.64
