Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
442,1060,976,1.14,1,7,101.3,1.2,22.1,70.4,1,15.55892027,68,5,0.45,13.6,7.91
17,2368,322,4.18,4,2,99.2,4.6,139.6,105.1,147,-15.46609194,333,14,1.8,18.4,7.69
349,3305,655,0.27,1,1,104.2,0.8,1,117.3,0,14.91576347,70,4,0.25,20.6,8.22
10,305,248,5.28,6,3,119.5,7.6,21.3,118.6,9,15.20789269,190,18,0.77,19.6,9
85,640,351,3.25,13,2,110.7,3.7,25.6,136,342,-15.3274264,507,11,0.8,19.1,7.82
10,307,151,10.8,7,4,98.5,1.7,88.6,130,4,14.88254011,226,14,1.1,20.7,7.62
60,2525,648,1.37,15,7,98.4,2.6,137.6,98.7,501,15.6920362,647,11,1.5,16.2,7.93
10,1127,202,4.23,64,4,94.3,61.2,123.3,104.8,898,-15.48321672,1075,89,2.6,18.3,7.43
268,78,829,3.89,2,2,100.8,2.6,86.2,53.2,12,15.6920362,72,6,0.7,16.2,7.68
305,4302,1043,0.46,7,5,102.9,0.7,3.1,62.9,18,-15.68853084,86,10,0.86,16.3,7.82
76,3076,854,0.78,1,7,101.1,0.9,34.5,69.5,37,-15.54509569,69,5,3.1,17.9,7.94
205,509,528,3.55,4,2,104.8,18.7,43.1,87.6,67,15.66141756,153,30,1,16.8,8.06
21,809,231,10.73,4,4,102.8,5.6,69.7,132,5,-14.19859148,174,20,3,22.4,7.79
185,1144,599,1.72,3,2,106.8,18.5,25.6,87.1,820,15.69968153,876,27,1,15.8,7.83
320,1079,1200,0.86,2,3,103.1,0.3,5.2,99.1,4,15.63745504,54,30,3.2,14.3,7.91
91,546,159,17.79,5,4,100.7,21.1,90.7,119.6,231,-14.33631752,547,70,7,22.1,7.11
238,458,1020,4.2,2,8,103.4,1,124.6,49.9,92,-15.64608577,249,7,0.85,14.4,7.9
180,406,627,4.6,6,8,97.9,6,648.8,92.6,976,-15.60769041,1156,14,1,14,7.68
4,2373,542,4.78,5,8,98.3,7.2,275.5,110.7,618,15.69968153,825,16,0.8,15.8,7.5
15,270,107,18.51,8,3,88.9,21.4,120,190,155,15.07083276,489,65,8.2,20.1,7.43
80,304,413,6.13,9,4,100.5,9.8,129.6,64.7,142,-15.64608577,261,21,1.4,17,7.21
320,414,455,0.69,0,3,109,1.6,2,521,1,14.42393844,99,7,0.55,21.9,8.41
5,11909,956,2.29,2,8,92.4,7.8,88.2,73.6,183,-15.68438714,280,19,1.6,16.4,7.41
10,82,228,30.01,24,6,57.8,24.3,85,256,85,-15.23318745,604,75,5.3,19.5,7.17
250,9741,1047,1.32,1,3,102.5,0.4,6.3,56.3,1,15.53061493,74,7,1.8,18,7.79
198,896,695,5.07,2,3,97,6.4,410.6,72.3,56,15.6741826,236,16,1.1,16.6,7.43
3,2818,482,3.17,4,2,114.1,3.9,56.3,94.4,374,-15.127789,525,28,2,19.9,7.11
6,914,374,7.44,57,2,81.9,102.1,1106,359,415,-15.28168839,700,168,2.7,19.3,7.28
10,2822,201,10.82,11,4,95.9,24.3,73.8,128.1,390,-14.84856896,651,62,5.4,20.8,7.43
15,8431,486,3.45,4,3,106,12.2,57.1,163,118,-14.05311354,319,36,1.6,22.7,7.67
15,1114,257,9.42,6,5,111.7,3.8,46.4,113.1,48,-14.88254011,296,18,1.5,20.7,8.28
320,19,725,1.99,1,6,100.5,10.5,121.1,70.4,13,15.66141756,63,16,0.68,14.6,7.65
30,216,297,6.55,18,2,120.7,63,45.2,211,1467,-14.84856896,1665,93,1.5,20.8,8.46
18,6567,423,7.42,1,6,103.6,1.8,16,130,1,-14.62873884,217,14,1.2,21.4,7.86
363,786,1005,0.73,1,1,102.8,13.4,14.6,121.5,9,-15.49967742,70,18,0.5,13.2,7.65
53,1027,1009,0.39,2,8,99.7,0.7,9.7,80.6,20,15.09966887,64,8,1.5,11.4,7.7
518,2689,864,1.83,1,2,103.1,1.1,37.3,162,2,-15.61825855,164,5,0.4,17.3,8.11
70,3451,746,2.29,1,6,101.8,3.3,40.2,218,2,15.09966887,137,13,0.65,20,8.06
131,2139,553,3.78,4,1,116.7,3.3,30.5,123.7,18,-15.58460779,162,17,1.5,17.6,8.49
152,716,371,3.95,12,3,99.9,2,51.2,318,14,15.23318745,267,16,1.4,19.5,8.34
37,3916,333,3.2,6,6,109.2,0.6,187,245,17,14.62873884,251,13,1.2,21.4,7.9
10,4846,333,4.64,60,3,158.1,39.2,52,243,131,14.05311354,549,94,2.3,22.7,8.71
425,293,622,5.11,1,1,101.4,7.4,47.2,103.2,1,-15.54509569,184,23,0.8,17.9,7.81
457,30.5,722,5.34,10,1,105.7,9,313,211,28,15.69968153,248,25,0.93,15.8,8.26
55,1571,385,3.27,1,1,111.5,1.3,49.6,454,0,-12.10330533,182,11,5.2,25.7,8.27
376,166,1049,1.93,2,6,100.4,1.4,3.7,104.2,18,-15.07083276,80,4,0.25,11.3,8.07
15,6309,736,14.83,8,8,98,1.2,574.9,59.6,38,15.54509569,201,43,17,13.5,7.5
320,1040,820,1.42,14,1,101.2,2.1,27.3,96.9,308,15.69490363,498,9,0.35,16.1,7.92
76,1750,613,6.83,4,3,109.2,0.5,33.2,111.1,45,-15.63745504,159,7,0.5,14.3,8.2
213,258,701,3.51,5,5,98.6,0.5,6.3,37.5,2,-15.69968153,97,2,0.25,15.8,7.26
171,642,774,15.62,4,8,99.8,1,41.3,40,22,15.39090641,137,7,1.4,12.6,7.26
26,2438,342,2.06,4,0,112.6,9.1,14.7,197,11,-14.24535012,143,19,0.38,22.3,8.58
2,2001,663,1.25,1,0,117.6,12.6,33.4,195,2,14.70510116,84,22,0.65,21.2,8.54
20,3827,485,16.95,4,8,98.7,1.6,238.2,49.3,74,15.69968153,218,17,4.2,15.8,7.08
14,8098,665,10.7,4,6,102.4,2,461.1,81.1,217,15.65407295,417,15,2.8,14.5,7.61
5,2150,449,3.11,7,5,107.6,5.6,416,100.4,1077,15.6741826,1261,15,1.8,16.6,7.79
183,1404,888,2.41,1,7,97.3,0.3,46.4,57.9,8,-15.68853084,78,5,0.45,15.1,7.66
15,5139,470,5.07,42,5,94.5,29.2,214.3,108.4,1003,15.37042615,1242,54,1.7,12.5,7.28
655,521,1422,0.8,1,5,100.8,2.6,16,46.8,6,-14.24535012,45,10,4.2,9.1,7.66
11,1376,607,1.27,1,0,99.8,9.9,6.3,118.8,2,15.46609194,54,15,0.4,18.4,7.74
220,1139,694,3.57,4,7,99.5,2.2,275.5,56,448,15.37042615,578,6,0.8,12.5,7.16
488,384,1108,0.62,1,0,100.1,0.3,0,101.5,3,-15.6920362,62,3,0.25,15.2,8.04
259,787,787,2.53,6,7,97.8,3.7,435.2,44.4,166,14.97998665,263,11,1.1,11,7.19
9,20582,790,1.21,2,4,100.1,0,65,72.5,21,-15.69490363,102,8,1,16.1,7.82
3,3494,847,0.84,2,4,107,0.5,8.4,63.4,23,-15.48321672,81,5,1.3,18.3,7.88
320,2423,690,11.27,5,4,96.5,14.7,160.7,115.9,6,-15.30490118,274,42,2.2,12.2,7.69
329,121,863,0.62,1,2,99,3.9,30.9,110.5,4,-15.6741826,46,6,0.5,16.6,7.91
220,151,672,9.14,4,7,95.6,4.5,248.1,47.8,5,-15.39090641,199,15,0.75,12.6,7.24
20,4716,605,11.09,6,8,100.5,8.3,36.4,89,19,15.60769041,259,26,1.2,14,7.62
53,1027,1009,0.69,2,8,99.3,1.1,12.9,81.7,39,-15.23318745,72,3,1.3,11.9,7.63
349,3305,655,0.4,1,1,103.8,0.8,3.1,119.7,0,-15.30490118,80,5,0.25,19.2,8.14
15,2371,732,2.07,14,8,107.8,5.3,115.3,125.7,32,15.69968153,156,10,0.75,15.8,8.52
205,509,528,3.08,4,4,102.4,16.8,20.1,93.9,26,15.6971335,132,26,0.78,15.4,8.17
185,1144,599,1.15,3,6,102.1,18.8,10.9,89.6,707,15.6741826,792,28,0.7,14.8,7.91
10,605,339,2.99,2,4,95.1,2.8,344.1,108.2,421,15.68438714,479,8,0.38,16.4,7.24
244,2387,1034,1.44,0,0,100.7,1.3,61.3,64.3,70,-15.42984122,108,11,4.1,12.8,7.77
30,122,237,2.88,1,5,94.7,2.3,19.7,127.7,5,15.60769041,98,12,0.58,17.4,7.56
200,87,576,3.57,1,4,101,2,5.2,65.6,27,15.37042615,99,7,0.28,12.5,7.57
15,270,107,15.91,6,2,90.7,14.1,41,204,4,15.37042615,261,51,6,18.9,7.62
91,16548,902,1.04,2,0,101.3,1.3,23.5,69.8,29,15.67960459,109,10,2.9,14.9,7.71
10,12429,383,3.68,2,0,107.5,14.2,12.9,157,103,-14.42393844,346,47,2.4,21.9,7.91
442,1060,976,1.38,2,7,102.6,0.8,6.2,63.3,5,15.46609194,80,4,0.87,13,7.93
17,2368,322,2.25,3,7,100.9,10.4,259.5,119.2,276,-15.63745504,362,25,2.8,17.1,7.58
10,82,228,24.2,7,1,48.9,14.7,158,251,1,15.44830088,464,79,4.6,18.5,7.15
10,307,151,5.76,3,4,91.4,1.2,60.1,135,3,15.2577849,157,10,1,19.4,7.52
10,305,248,3.68,7,0,114.5,3.9,7.4,166,4,14.91576347,155,18,0.92,20.6,8.33
305,4453,973,0.4,3,0,108.1,0.8,1,71.1,23,-15.6741826,70,4,0.25,16.6,8.21
60,2525,648,1.44,3,8,101.3,6.4,122.3,81,340,15.67960459,411,9,1.4,14.9,7.92
85,640,351,2.07,17,8,102.5,4.5,75.4,152,502,-15.62817968,626,14,0.81,17.2,7.63
268,78,829,3.74,2,8,99.2,2.4,24.6,57.1,30,-15.53061493,86,6,0.78,13.4,7.61
305,4302,1043,0.28,8,0,101.5,0.6,2,62.5,20,15.69872606,75,9,1,15.5,7.86
21,809,231,5.76,1,4,108,2.6,55.6,167,0,14.84856896,138,13,1.9,20.8,8.02
76,3076,854,1.27,3,7,101.5,2.5,43.5,64.8,92,15.64608577,120,9,6.4,17,7.76
91,546,159,11.77,2,6,112.5,8.2,125.9,132,1,-15.01099597,197,32,2.5,20.3,7.72
320,1079,1200,0.8,1,2,102.3,0.3,5.2,101.9,19,-15.63745504,55,48,4.5,14.3,7.96
10,1127,202,3.22,79,6,101.1,70,90.6,105.9,988,-15.60769041,1175,93,2.8,17.4,7.49
80,304,413,3.27,9,8,101.1,7.6,88.4,67.9,111,-15.61825855,230,17,0.82,17.3,7.22
320,414,455,0.63,0,8,103.6,1.8,14.6,525,0,15.20789269,102,6,0.37,19.6,8.14
10,2822,201,7.06,5,7,101.4,17.7,71.7,141,249,14.91576347,448,52,3.5,20.6,7.61
6,914,374,8.93,58,8,72.2,104.3,857,365,423,15.62817968,679,138,1.8,17.2,7.26
3,2818,482,1.78,7,8,109.3,2.6,34.1,97.5,336,-15.6681205,532,28,1.4,16.7,7
15,8431,486,2.45,1,7,109.8,4.4,34.1,160,102,14.97998665,313,29,1.1,20.4,7.78
15,1114,257,9.24,17,1,109.4,11.7,65,132,97,-15.127789,319,30,2.2,19.9,8.15
320,19,725,2.86,4,8,100.9,13,111.2,72.5,13,-15.68438714,77,20,0.65,15,7.72
30,216,297,9.02,28,8,115,95.3,122.3,222,1595,15.48321672,1903,141,1.5,18.3,8.31
18,6567,423,7.69,2,7,100.5,2.9,22.6,151,2,15.04127654,181,16,1.4,20.2,7.77
363,786,1005,1.26,1,6,103.3,15.8,43.5,124.8,18,-15.44830088,70,29,0.66,12.9,7.59
238,458,1020,6.42,12,8,99.1,2.9,33.1,44.5,137,-15.69490363,344,21,1.8,15.3,7.63
518,2689,864,4.34,1,4,100.1,7.6,410.6,145,96,-15.6971335,236,23,5.4,16,8.05
180,406,627,3.37,5,8,98.3,5.5,387.3,78.9,683,-15.61825855,816,13,2.2,14.1,7.59
4,2373,542,2.41,4,8,93.4,3.3,96,76.5,368,15.69968153,488,7,0.7,15.8,7.52
70,3451,746,3.46,5,7,98.1,10.3,727,179,117,15.51547615,230,20,2.9,18.1,7.99
425,293,622,13.36,10,7,93.5,13.3,686.7,97.5,57,15.48321672,507,102,48,18.3,7.57
131,2139,553,5.27,22,7,104.2,6.3,648.8,130,132,15.65407295,335,35,2.9,16.9,7.88
5,11909,956,1.05,1,8,99.1,2.5,71.7,66.5,114,-15.6920362,188,8,1.3,16.2,7.54
152,716,371,6.82,23,6,97.5,20.9,547.5,245,387,15.58460779,655,54,7.8,17.6,8.02
250,9741,1047,0.73,3,8,100.2,0,2,58.6,0,15.69490363,58,4,0.86,16.1,7.92
457,30.5,722,9.86,12,5,103.3,15.3,1046.24,152,85,15.65407295,363,32,3.4,16.9,8.29
198,896,695,1.65,2,8,100.8,4.5,47.1,85.8,1,-15.69490363,98,8,0.36,16.1,7.8
37,3916,333,5.68,16,5,98.7,17.4,866.4,196,359,-15.53061493,575,37,7.4,18,7.84
10,4846,333,5.39,42,4,99.8,33.9,260.2,193,409,-15.34926708,639,66,8.5,19,7.82
55,1571,385,7.42,5,7,93.1,7,727,410,164,14.38054241,480,318,260,22,8.15
11,1376,607,2.17,1,0,97,10.7,35,101.7,71,-15.69968153,116,17,1.1,15.8,7.75
376,166,1049,0.81,1,0,99.4,2.7,4.1,122.2,35,-13.6821051,59,4,0.68,8,8.05
320,1040,820,3.14,6,8,98.9,4.9,125.9,110.5,244,15.53061493,396,29,6.8,13.4,8.07
320,414,455,2.96,1,6,106.7,1.3,1,522,1,15.30490118,107,6,0.31,19.2,8.1
76,1750,613,5.82,3,0,104.8,1.5,15.8,137,228,-15.48321672,294,4,0.5,13.1,8.12
15,2371,732,10.33,12,8,96.2,13.7,2419.17,139,179,15.68438714,790,302,57,15,8.15
213,258,701,3.49,0,0,97.5,0.3,0,37.6,2,-15.6741826,102,2,0.55,14.8,7.36
171,642,774,5.48,1,2,98.9,0.8,3.1,58.8,5,-15.2577849,56,2,0.37,12,7.63
6,914,374,6.5,64,6,74.6,95.6,808,361,452,15.51547615,698,123,1.9,18.1,7.26
3,2818,482,2.64,5,7,121.3,23.9,36.4,100.3,398,15.6681205,538,35,2.1,16.7,7.16
20,3827,485,7.41,4,3,94.3,1.1,31.3,60.7,73,15.6741826,151,6,0.55,14.8,7.53
14,8098,665,5.06,1,4,103.6,1.2,135.4,86.2,171,-15.66141756,294,10,1.2,14.6,8.04
5,2150,449,3.95,3,4,104.6,7.3,86.2,104,997,15.61825855,1171,15,2.1,14.1,7.45
183,1404,888,1.55,0,8,100.7,0.8,8.5,55.6,9,-15.53061493,51,3,0.72,13.4,7.63
10,605,339,4.65,0,8,96.2,4.7,131.7,96.4,308,-15.60769041,396,8,0.72,14,7.37
15,5139,470,5.39,37,7,92.1,23.1,613.1,95.4,883,14.91576347,1145,44,2,10.8,7.13
238,458,1020,5.1,4,8,101.4,1,36.4,41.9,110,15.42984122,284,13,1,12.8,7.56
180,406,627,2.86,2,8,102.9,3.9,56.5,85.6,825,-15.127789,965,8,0.86,11.5,7.75
10,12429,383,3.38,1,0,98.1,21.8,86.2,166,209,15.2577849,401,59,3.2,19.4,7.67
4,2373,542,2.74,10,8,101.5,1.4,52,75.2,235,15.54509569,376,7,0.64,13.5,7.84
91,16548,902,1.21,0,7,101,0.6,16,72.9,30,15.54509569,98,6,1.1,13.5,7.8
655,521,1422,0.74,0,1,99.7,3.6,7.4,48.7,13,-13.79275172,69,7,2.2,8.2,7.73
30,122,237,2.4,0,5,97.9,1.9,43.7,135,3,15.65407295,80,8,0.59,16.9,7.78
200,87,576,4.25,1,8,99.5,4.2,7.3,67,54,15.01099597,105,7,0.7,11.1,7.57
220,1139,694,3.11,3,7,98.5,1.6,93.2,64,657,-15.09966887,769,5,0.84,11.4,7.13
17,2368,322,4.14,4,8,95.7,25.9,161.6,171,800,-15.6971335,947,40,3.7,15.4,7.6
488,384,1108,1.43,1,8,100.6,0.7,5.2,84.4,2,15.18189712,121,3,0.34,11.7,8
259,787,787,1.49,3,6,99.8,3.3,59.1,55.1,250,-14.66731059,328,9,0.94,10.1,7.23
10,305,248,4.65,22,0,111.4,12.8,19.9,183,305,15.53061493,500,32,0.8,18,8.49
349,3305,655,0.38,0,4,103.8,0.5,7.4,118.4,1,-15.48321672,80,6,0.27,18.3,8.3
5,11909,956,0.92,0,5,100.8,0.7,14.3,62.8,60,15.61825855,115,6,2.1,14.1,7.61
10,307,151,5.29,1,1,96.1,1.1,148.3,141,2,-15.48321672,170,8,0.98,18.3,7.67
85,640,351,3.95,12,8,97.8,13.3,151.5,176,784,-15.6920362,938,19,1,15.2,7.56
250,9741,1047,0.69,1,0,102.8,0.6,1,58,0,15.63745504,52,3,0.92,14.3,7.83
10,1127,202,3.38,55,1,95,83.6,172.3,105.6,993,15.6971335,1122,107,2.4,16,7.42
305,4453,973,0.46,0,0,106,0.5,2,71,29,-15.61825855,96,3,0.29,14.1,8.33
198,896,695,2.85,0,0,106.2,3.3,20.1,75.2,1,-15.6741826,147,7,0.49,14.8,8
268,78,829,2.65,1,8,101.3,2.8,11,60.7,31,15.34926708,87,5,0.4,12.4,7.7
2,2001,663,1.3,0,8,118.8,4,59.1,161,20,-15.63745504,83,13,0.84,17.1,8.68
205,509,528,3.53,2,6,102.8,19.7,63.8,91.1,75,15.67960459,178,31,1,14.9,8.1
9,20582,790,1.6,0,8,99,0.7,17.3,75.6,42,-15.46609194,115,8,2.2,13,7.83
3,3494,847,0.81,0,6,104.2,2.1,6.2,62.6,66,-15.69490363,96,6,0.75,16.1,7.79
305,4302,1043,0.45,6,0,99.1,0.4,0,66,20,-15.49967742,82,12,0.66,13.2,7.91
185,1144,599,1.55,3,6,106.7,21.6,30.1,91.7,819,15.64608577,889,28,0.7,14.4,7.9
320,1079,1200,0.63,2,0,100.6,0.4,1,112,10,-14.94824405,57,90,1.6,10.9,7.91
21,809,231,17.65,4,5,95.5,6.2,172.3,134,90,-15.28168839,385,28,5.7,19.3,7.56
91,546,159,7.91,1,4,109.5,6.4,96,144,1,15.3274264,201,22,1.6,19.1,7.89
329,121,863,2.11,0,8,97.1,5.6,14.6,90.5,65,14.97998665,125,14,6.2,11,7.77
320,2423,690,12.05,2,0,100.7,13.5,152.9,101.7,14,14.1509717,280,39,2.5,8.9,7.55
80,304,413,4.69,7,0,96.9,8,275.5,68,143,15.3274264,259,22,1.1,12.3,7.23
220,151,672,10.61,1,0,98.4,3.3,125.9,43.6,0,13.44916354,193,15,1,7.6,7.14
20,4716,605,11.52,0,0,101.4,7.5,32.3,82.4,20,15.20789269,293,33,2,11.8,7.54
26,2438,342,4.17,4,8,108.7,15.2,131.7,237,506,15.6681205,693,34,2.5,14.7,8.61
10,2822,201,8.43,10,0,94.2,27.8,273.3,140,417,15.6681205,600,66,3.9,16.7,7.54
15,8431,486,3.15,1,0,106.9,7.9,38.9,167,181,15.2577849,367,33,1,19.4,7.85
15,1114,257,9.01,5,1,105.2,5.7,121.1,115,199,15.57209042,347,21,3.2,13.7,8.08
425,293,622,5.79,1,0,101.5,5.8,135.4,92.3,2,15.39090641,125,19,1,12.6,7.8
320,19,725,2.44,2,1,100.4,8.8,29.2,75.3,61,14.19859148,107,39,0.75,9,7.63
30,216,297,6.29,9,1,112,56,86.2,196,1675,-15.3274264,1724,86,1.4,12.3,8.22
457,30.5,722,5.95,9,0,103.1,22.5,325.5,154,104,14.77836256,288,42,1.3,10.4,8.24
18,6567,423,7.35,3,0,104.5,3.4,17.1,142,20,-15.6681205,149,13,1.3,14.7,7.84
55,1571,385,4.13,3,1,99.1,4.2,123.6,430,86,-15.6920362,237,45,54,16.2,8.15
244,2387,1034,0.33,0,1,101.8,0.8,53.7,71.6,42,14.81384488,93,3,1.4,10.5,7.81
363,786,1005,0.52,0,4,102.5,16,13.4,131,19,14.24535012,50,21,0.44,9.1,7.63
518,2689,864,1.83,0,7,103.7,1.9,32.3,154,12,-14.62873884,84,7,0.56,10,8.13
53,1027,1009,7.54,0,7,99,1.2,64.4,81.8,28,-14.54922678,81,7,0.88,9.8,7.74
70,3451,746,1.94,0,8,98,3,146.7,202,1,15.37042615,96,15,2.4,12.5,7.93
442,1060,976,1.07,0,7,102,0.7,14.8,71.8,1,-14.94824405,55,3,0.41,10.9,7.91
131,2139,553,3.35,0,8,108.5,5.6,26.2,133,70,-15.09966887,167,16,1,11.4,8.08
152,716,371,5.17,5,7,99.8,11.8,127.4,273,222,15.07083276,418,36,1.8,11.3,8.06
60,2525,648,0.97,1,7,102.9,2.3,34.5,96.4,517,15.49967742,684,5,0.83,13.2,8.24
37,3916,333,3.83,0,8,111.8,2.2,115.3,222,52,15.51547615,221,27,2.1,13.3,7.98
10,4846,333,4.29,61,8,125.2,30.7,67.7,229,165,-15.61825855,479,71,1.9,14.1,8.22
76,3076,854,0.33,1,7,100.3,1.2,36.4,69.8,41,15.69968153,102,3,1.6,15.8,8.09
15,270,107,14.5,1,7,89.6,17.7,86,227,6,-15.63745504,283,48,4.9,14.3,7.66
10,82,228,18.2,7,6,61.6,9.6,62.7,262,7,-15.63745504,430,50,3.5,14.3,7.25
11,1376,607,4.19,3,8,97.6,7.9,155.3,96.4,46,15.51547615,144,33,17,13.3,7.73
15,6309,736,4.18,4,8,97.8,0.5,14.8,78.5,30,14.19859148,93,17,0.65,9,7.63
320,1040,820,2.01,7,0,99.8,5.7,26.2,103.2,299,13.13506757,367,9,0.67,7.1,7.91
349,3305,655,0.39,1,5,102.3,2.3,0,118.8,0,15.67960459,61,5,0.22,14.9,8.09
15,2371,732,2.52,3,0,102.9,9.8,21.6,129,172,-14.5893797,241,15,1.6,9.9,8.15
213,258,701,3.44,1,7,99,0.4,0,37,5,-15.15519713,86,4,0.24,11.6,7.39
171,642,774,6.89,2,8,98.9,1,2,52.8,4,14.10248205,62,4,0.25,8.8,7.6
205,509,528,2.88,5,2,105.6,16.3,18.7,95.3,71,14.62873884,126,24,0.73,10,8.04
20,3827,485,6.96,8,8,96.4,1.9,290.9,61.1,101,-14.74211654,181,7,0.66,10.3,7.35
185,1144,599,1.27,7,3,102.1,23.6,12.2,89.7,777,-14.81384488,828,29,0.64,10.5,7.73
14,8098,665,7.07,2,4,103.5,1.6,88.2,88.5,231,14.33631752,465,11,1.7,9.3,7.89
5,2150,449,6.71,12,3,98,11.8,209.8,127,1563,14.66731059,1827,29,3.8,10.1,7.45
15,5139,470,7.75,31,7,95.7,18.3,238.2,99.4,1367,14.05311354,1622,46,4.6,8.7,7.24
10,605,339,6.15,2,7,98.9,6.1,15.6,91,300,-15.30490118,363,11,1.3,12.2,7.42
376,166,1049,0.34,0,8,100.6,1.9,59.4,137,4,-13.50888597,10,4,0.21,7.7,8.25
220,1139,694,3.56,3,6,95,1.3,50.4,58.9,587,14.10248205,674,11,0.73,8.8,7.22
200,87,576,33.43,5,8,104.2,2.3,93.4,47.2,21,-14.46651306,255,20,4.6,9.6,7.01
259,787,787,2.64,3,6,97.2,2.2,45.9,44.9,154,-14.00285685,226,9,0.75,8.6,7.36
488,384,1108,0.91,1,2,99.4,1.2,2,84,8,13.44916354,37,3,0.35,7.6,7.87
76,1750,613,2.05,1,3,110.3,0.8,4.1,144,87,14.42393844,151,6,0.39,9.5,8.49
17,2368,322,5.05,7,4,98.3,15.7,48,142,508,14.97998665,672,31,49,11,7.61
85,640,351,4.76,2,3,100.6,7.7,75.4,118.8,438,15.18189712,613,63,32,11.7,7.62
9,20582,790,2.34,2,7,99.2,1.4,37.3,73.6,96,14.54922678,205,11,2.7,9.8,7.77
2,2001,663,1.14,1,2,101.6,5.7,14.6,153,123,-15.60769041,180,12,1.9,14,7.99
268,78,829,7.19,2,4,100.7,2.5,3.1,32.1,19,14.38054241,72,17,5,9.4,7.36
183,1404,888,1.73,0,8,99.7,0.6,38.4,63.1,11,14.97998665,46,3,0.27,11,7.75
238,458,1020,3.28,2,6,100.4,0.5,26.2,46.8,114,14.10248205,242,6,0.33,8.8,7.61
320,2423,690,11.49,1,8,95.7,10.3,41.9,73.3,17,-12.93367697,239,40,2.8,6.8,7.49
