meter,time,reading
RX07000916,0000,0.272
RX07000928,0000,0.22
RX07000952,0000,0.08
RX07000962,0000,0.322
RX07000963,0000,0.026
RX07000967,0000,0.177
RX07000969,0000,0.242
RX07000977,0000,0.1
RX07001044,0000,0.3
RX07001048,0000,0.132
RX07001054,0000,0.57
RX07001061,0000,0.142
RX07001075,0000,0.104
RX07001084,0000,0.18
RX07001093,0000,0.262
RX07001100,0000,0.31
RX07001113,0000,0.34
RX07001127,0000,0.098
RX07001168,0000,0.128
RX07001172,0000,0.22
RX07001211,0000,0.302
RX07001224,0000,0.324
RX07001226,0000,0.112
RX07001232,0000,0.174
RX07001235,0000,0.15
RX07001245,0000,0.082
RX07001248,0000,0.31
RX07001255,0000,0.194
RX07001260,0000,0.276
RX07001287,0000,0.192
RX07001291,0000,0.24
RX07001324,0000,0.118
RX07001327,0000,0.406
RX07001329,0000,0.114
RX07001331,0000,0.074
RX07001340,0000,0.096
RX07001345,0000,0.072
RX07001359,0000,0.198
RX07001376,0000,0.14
RX07001407,0000,0.14
RX07001411,0000,0.144
RX07001456,0000,0.092
RX07001499,0000,0.14
RX07001509,0000,0.156
RX07001524,0000,0.19
RX07001529,0000,0.178
RX07001532,0000,0.26
RX07001535,0000,0.272
RX07001536,0000,0.059
RX07001558,0000,0.248
RX07001574,0000,0.202
RX07001832,0000,0.306
RX07001838,0000,0.174
RX07001841,0000,0.144
RX07001865,0000,0.164
RX07001867,0000,0.158
RX07001893,0000,0.096
RX07001907,0000,1.349
RX07001910,0000,0.556
RX07001935,0000,0.148
RX07001945,0000,0.202
RX07001951,0000,1.444
RX07001961,0000,0.25
RX07001966,0000,0.558
RX07001974,0000,0.172
RX07002001,0000,0.254
RX07002014,0000,0.152
RX07002018,0000,0.092
RX07002029,0000,0.092
RX07002033,0000,0.218
RX07002042,0000,0.357
RX07002043,0000,0.118
RX07002054,0000,0.156
RX07002084,0000,0.21
RX07002104,0000,0.138
RX07002106,0000,0.036
RX07002113,0000,0.458
RX07002121,0000,0.206
RX07002128,0000,0.058
RX07002131,0000,0.178
RX07002142,0000,0.116
RX07002154,0000,0.89
RX07002155,0000,0.08
RX07002166,0000,0.26
RX07002167,0000,0.174
RX07002181,0000,0.138
RX07002187,0000,0.222
RX07002199,0000,0.175
RX07002200,0000,0.616
RX07002212,0000,0.06
RX07002223,0000,0.148
RX07002241,0000,0.114
RX07002245,0000,0.224
RX07002250,0000,0.139
RX07002262,0000,0.532
RX07002263,0000,0.057
RX07002268,0000,0.09
RX07002279,0000,0.12
RX07002293,0000,0.242
RX07002308,0000,0.156
RX07002345,0000,0.074
RX07002355,0000,0.122
RX07002366,0000,0.088
RX07002372,0000,0.114
RX07002387,0000,0.503
RX07002404,0000,0.071
RX07002428,0000,0.083
RX07002440,0000,0.118
RX07002454,0000,0.048
RX07002456,0000,0.092
RX07002479,0000,0.044
RX07002488,0000,0.172
RX07002489,0000,0.082
RX07002524,0000,0.07
RX07002529,0000,0.234
RX07002552,0000,0.058
RX07002560,0000,0.278
RX07002568,0000,0.128
RX07002570,0000,0.094
RX07002587,0000,0.11
RX07002604,0000,0.15
RX07002630,0000,0.062
RX07002632,0000,0.162
RX07002648,0000,0.136
RX07002650,0000,0.373
RX07002658,0000,0.186
RX07002666,0000,0.121
RX07002668,0000,0.484
RX07002672,0000,0.214
207860297 ,0030,0.176
207860316 ,0030,0.336
207860322 ,0030,0.127
207860324 ,0030,0.08
207860359 ,0030,0.149
207860373 ,0030,0.555
207860393 ,0030,0.303
207860395 ,0030,0.232
207860402 ,0030,0.393
207860439 ,0030,0.241
207860447 ,0030,0.273
207860451 ,0030,0.39
207860500 ,0030,0.449
207860512 ,0030,0.321
207860520 ,0030,0.393
207860522 ,0030,0.184
207860531 ,0030,0.161
207860541 ,0030,0.067
207860545 ,0030,0.054
207860574 ,0030,0.016
207860604 ,0030,0.16
207860646 ,0030,0.621
207860686 ,0030,0.107
207860705 ,0030,0.199
RD07000023,0030,0.48
RD07000055,0030,0.15
RD07000070,0030,0.19
RD07000081,0030,0.114
RD07000097,0030,0.072
RD07000102,0030,0.11
RD07000309,0030,0.176
RD07000316,0030,0.232
RD07000327,0030,0.454
RX07000023,0030,0.166
RX07000024,0030,0.51
RX07000036,0030,0.166
RX07000043,0030,0.1
RX07000046,0030,0.11
RX07000053,0030,0.476
RX07000072,0030,0.052
RX07000073,0030,0.238
RX07000084,0030,0.27
RX07000087,0030,0.13
RX07000167,0030,0.139
RX07000176,0030,0.096
RX07000177,0030,0.288
RX07000179,0030,0.038
RX07000183,0030,0.158
RX07000190,0030,0.122
RX07000214,0030,0.484
RX07000240,0030,0.124
RX07000253,0030,0.12
RX07000254,0030,0.18
RX07000272,0030,0.162
RX07000281,0030,0.148
RX07000284,0030,0.295
RX07000304,0030,0.226
RX07000305,0030,0.094
RX07000329,0030,0.119
RX07000330,0030,0.197
RX07000331,0030,0.068
RX07000337,0030,0.366
RX07000338,0030,0.178
RX07000372,0030,0.134
RX07000391,0030,0.066
RX07000400,0030,0.076
RX07000404,0030,0.046
RX07000422,0030,0.074
RX07000429,0030,0.248
RX07000440,0030,0.084
RX07000445,0030,0.274
RX07000449,0030,0.046
RX07000460,0030,0.196
RX07000478,0030,0.132
RX07000484,0030,0.088
RX07000494,0030,0.104
RX07000497,0030,0.112
RX07000505,0030,0.104
RX07000517,0030,0.103
RX07000548,0030,0.106
RX07000562,0030,0.1
RX07000575,0030,0.084
RX07000583,0030,0.262
RX07000589,0030,0.153
RX07000616,0030,0.296
RX07000623,0030,0.79
RX07000633,0030,0.114
RX07000664,0030,0.368
RX07000669,0030,0.332
RX07000670,0030,0.154
RX07000680,0030,0.106
RX07000683,0030,0.092
RX07000692,0030,0.242
RX07000698,0030,0.212
RX07000703,0030,0.2
RX07000714,0030,0.09
RX07000715,0030,0.354
RX07000726,0030,0.272
RX07000735,0030,0.116
RX07000756,0030,0.198
RX07000768,0030,0.158
RX07000771,0030,0.082
RX07000775,0030,0.054
RX07000782,0030,0.098
RX07000814,0030,0.05
RX07000830,0030,0.138
RX07000838,0030,0.056
RX07000865,0030,0.236
RX07000872,0030,0.166
RX07000884,0030,0.194
RX07000901,0030,0.036
RX07000908,0030,0.769
RX07000916,0030,0.841
RX07000928,0030,0.206
RX07000952,0030,0.15
RX07000962,0030,0.598
RX07000963,0030,0.03
RX07000967,0030,0.152
RX07000969,0030,0.224
RX07000977,0030,0.124
RX07001044,0030,0.262
RX07001048,0030,0.134
RX07001054,0030,0.056
RX07001061,0030,0.244
RX07001075,0030,0.114
RX07001084,0030,0.174
RX07001093,0030,0.218
RX07001100,0030,0.23
RX07001113,0030,0.188
RX07001127,0030,0.084
RX07001168,0030,0.138
RX07001172,0030,0.402
RX07001211,0030,0.164
RX07001224,0030,0.24
RX07001226,0030,0.264
RX07001232,0030,0.194
RX07001235,0030,0.106
RX07001245,0030,0.024
RX07001248,0030,0.248
RX07001255,0030,0.144
RX07001260,0030,0.182
RX07001287,0030,0.292
RX07001291,0030,0.302
RX07001324,0030,0.1
RX07001327,0030,0.258
RX07001329,0030,0.044
RX07001331,0030,0.118
RX07001340,0030,0.106
RX07001345,0030,0.132
RX07001359,0030,0.182
RX07001376,0030,0.112
RX07001407,0030,0.124
RX07001411,0030,0.38
RX07001456,0030,0.062
RX07001499,0030,0.14
RX07001509,0030,0.176
RX07001524,0030,0.226
RX07001529,0030,0.174
RX07001532,0030,0.31
RX07001535,0030,0.35
RX07001536,0030,0.045
RX07001558,0030,0.208
RX07001574,0030,0.206
RX07001832,0030,0.358
RX07001838,0030,0.51
RX07001841,0030,0.116
RX07001865,0030,0.226
RX07001867,0030,0.184
RX07001893,0030,0.104
RX07001907,0030,0.796
RX07001910,0030,0.096
RX07001935,0030,0.154
RX07001945,0030,0.258
RX07001951,0030,0.122
RX07001961,0030,0.306
RX07001966,0030,0.156
RX07001974,0030,0.212
RX07002001,0030,0.244
RX07002014,0030,0.202
RX07002018,0030,0.092
RX07002029,0030,0.059
RX07002033,0030,0.155
RX07002042,0030,1.177
RX07002043,0030,0.18
RX07002054,0030,0.174
RX07002084,0030,0.214
RX07002104,0030,0.136
RX07002106,0030,0.036
RX07002113,0030,0.468
RX07002121,0030,0.178
RX07002128,0030,0.05
RX07002131,0030,0.192
RX07002142,0030,0.076
RX07002154,0030,0.894
RX07002155,0030,0.1
RX07002166,0030,0.276
RX07002167,0030,0.1
RX07002181,0030,0.146
RX07002187,0030,0.162
RX07002199,0030,0.17
RX07002200,0030,1.262
RX07002212,0030,0.054
RX07002223,0030,0.12
RX07002241,0030,0.104
RX07002245,0030,0.18
RX07002250,0030,0.198
RX07002262,0030,0.638
RX07002263,0030,0.132
RX07002268,0030,0.07
RX07002279,0030,0.146
RX07002293,0030,0.686
RX07002308,0030,0.22
RX07002345,0030,0.072
RX07002355,0030,0.124
RX07002366,0030,0.092
RX07002372,0030,0.076
RX07002387,0030,0.091
RX07002404,0030,0.085
RX07002428,0030,0.64
RX07002440,0030,0.144
RX07002454,0030,0.046
RX07002456,0030,0.072
RX07002479,0030,0.144
RX07002488,0030,0.196
RX07002489,0030,0.076
RX07002524,0030,0.09
RX07002529,0030,0.198
RX07002552,0030,0.016
RX07002560,0030,0.188
RX07002568,0030,0.132
RX07002570,0030,0.096
RX07002587,0030,0.112
RX07002604,0030,0.13
RX07002630,0030,0.055
RX07002632,0030,0.112
RX07002648,0030,0.564
RX07002650,0030,0.162
RX07002658,0030,0.608
RX07002666,0030,0.296
RX07002668,0030,0.42
RX07002672,0030,0.196
207860297 ,0100,0.373
207860316 ,0100,0.342
207860322 ,0100,0.111
207860324 ,0100,0.188
207860359 ,0100,0.109
207860373 ,0100,0.41
207860393 ,0100,0.363
207860395 ,0100,0.37
207860402 ,0100,0.195
207860439 ,0100,0.269
207860447 ,0100,0.653
207860451 ,0100,0.227
207860500 ,0100,0.348
207860512 ,0100,0.278
207860520 ,0100,0.382
207860522 ,0100,0.148
207860531 ,0100,0.173
207860541 ,0100,0.414
207860545 ,0100,0.079
207860574 ,0100,0.016
207860604 ,0100,0.143
207860646 ,0100,0.16
207860686 ,0100,0.222
207860705 ,0100,0.233
RD07000023,0100,0.182
RD07000055,0100,0.09
RD07000070,0100,0.756
RD07000081,0100,0.114
RD07000097,0100,0.09
RD07000102,0100,0.126
RD07000309,0100,0.35
RD07000316,0100,0.234
RD07000327,0100,0.58
RX07000023,0100,0.142
RX07000024,0100,0.196
RX07000036,0100,0.11
RX07000043,0100,0.116
RX07000046,0100,0.104
RX07000053,0100,0.118
RX07000072,0100,0.034
RX07000073,0100,0.356
RX07000084,0100,0.262
RX07000087,0100,0.116
RX07000167,0100,0.179
RX07000176,0100,0.11
RX07000177,0100,0.298
RX07000179,0100,0.038
RX07000183,0100,0.152
RX07000190,0100,0.088
RX07000214,0100,0.316
RX07000240,0100,0.122
RX07000253,0100,0.1
RX07000254,0100,0.176
RX07000272,0100,0.186
RX07000281,0100,0.14
RX07000284,0100,0.304
RX07000304,0100,0.256
RX07000305,0100,0.104
RX07000329,0100,0.059
RX07000330,0100,0.223
RX07000331,0100,0.066
RX07000337,0100,0.214
RX07000338,0100,0.308
RX07000372,0100,0.148
RX07000391,0100,0.066
RX07000400,0100,0.076
RX07000404,0100,0.038
RX07000422,0100,0.066
RX07000429,0100,0.212
RX07000440,0100,0.174
RX07000445,0100,0.282
RX07000449,0100,0.124
RX07000460,0100,0.162
RX07000478,0100,0.132
RX07000484,0100,0.088
RX07000494,0100,0.102
RX07000497,0100,0.092
RX07000505,0100,0.134
RX07000517,0100,0.098
RX07000548,0100,0.108
RX07000562,0100,0.127
RX07000575,0100,0.09
RX07000583,0100,0.386
RX07000589,0100,0.136
RX07000616,0100,0.329
RX07000623,0100,0.156
RX07000633,0100,0.082
RX07000664,0100,0.412
RX07000669,0100,0.278
RX07000670,0100,0.144
RX07000680,0100,0.108
RX07000683,0100,0.064
RX07000692,0100,0.228
RX07000698,0100,0.102
RX07000703,0100,0.138
RX07000714,0100,0.098
RX07000715,0100,0.349
RX07000726,0100,0.25
RX07000735,0100,0.072
RX07000756,0100,0.147
RX07000768,0100,0.107
RX07000771,0100,0.082
RX07000775,0100,0.066
RX07000782,0100,0.326
RX07000814,0100,0.057
RX07000830,0100,0.064
RX07000838,0100,0.056
RX07000865,0100,0.148
RX07000872,0100,0.064
RX07000884,0100,0.328
RX07000901,0100,0.034
RX07000908,0100,0.196
RX07000916,0100,0.314
RX07000928,0100,0.162
RX07000952,0100,0.064
RX07000962,0100,0.588
RX07000963,0100,0.032
RX07000967,0100,0.134
RX07000969,0100,0.234
RX07000977,0100,0.126
RX07001044,0100,0.232
RX07001048,0100,0.21
RX07001054,0100,0.068
RX07001061,0100,0.238
RX07001075,0100,0.09
RX07001084,0100,0.184
RX07001093,0100,0.706
RX07001100,0100,0.526
RX07001113,0100,0.286
RX07001127,0100,0.08
RX07001168,0100,0.142
RX07001172,0100,0.288
RX07001211,0100,0.2
RX07001224,0100,0.44
RX07001226,0100,0.08
RX07001232,0100,0.238
RX07001235,0100,0.074
RX07001245,0100,0.078
RX07001248,0100,0.246
RX07001255,0100,0.182
RX07001260,0100,0.312
RX07001287,0100,0.236
RX07001291,0100,0.146
RX07001324,0100,0.148
RX07001327,0100,0.586
RX07001329,0100,0.114
RX07001331,0100,0.122
RX07001340,0100,0.086
RX07001345,0100,0.114
RX07001359,0100,0.164
RX07001376,0100,0.11
RX07001407,0100,0.082
RX07001411,0100,0.142
RX07001456,0100,0.104
RX07001499,0100,0.142
RX07001509,0100,0.168
RX07001524,0100,0.868
RX07001529,0100,0.182
RX07001532,0100,0.524
RX07001535,0100,0.526
RX07001536,0100,0.08
RX07001558,0100,0.214
RX07001574,0100,0.206
RX07001832,0100,0.314
RX07001838,0100,0.158
RX07001841,0100,0.114
RX07001865,0100,0.734
RX07001867,0100,0.13
RX07001893,0100,0.08
RX07001907,0100,0.717
RX07001910,0100,0.133
RX07001935,0100,0.148
RX07001945,0100,0.236
RX07001951,0100,0.1
RX07001961,0100,0.274
RX07001966,0100,0.164
RX07001974,0100,0.154
RX07002001,0100,0.176
RX07002014,0100,0.212
RX07002018,0100,0.09
RX07002029,0100,0.057
RX07002033,0100,0.18
RX07002042,0100,0.327
RX07002043,0100,0.168
RX07002054,0100,0.167
RX07002084,0100,0.206
RX07002104,0100,0.238
RX07002106,0100,0.034
RX07002113,0100,0.45
RX07002121,0100,0.102
RX07002128,0100,0.04
RX07002131,0100,0.708
RX07002142,0100,0.088
RX07002154,0100,0.896
RX07002155,0100,0.094
RX07002166,0100,0.268
RX07002167,0100,0.214
RX07002181,0100,0.228
RX07002187,0100,0.226
RX07002199,0100,0.175
RX07002200,0100,0.332
RX07002212,0100,0.054
RX07002223,0100,0.122
RX07002241,0100,0.1
RX07002245,0100,0.218
RX07002250,0100,0.185
RX07002262,0100,0.244
RX07002263,0100,0.063
RX07002268,0100,0.06
RX07002279,0100,0.118
RX07002293,0100,0.22
RX07002308,0100,0.186
RX07002345,0100,0.064
RX07002355,0100,0.122
RX07002366,0100,0.098
RX07002372,0100,0.2
RX07002387,0100,0.089
RX07002404,0100,0.069
RX07002428,0100,0.078
RX07002440,0100,0.162
RX07002454,0100,0.388
RX07002456,0100,0.092
RX07002479,0100,0.118
RX07002488,0100,0.126
RX07002489,0100,0.064
RX07002524,0100,0.086
RX07002529,0100,0.142
RX07002552,0100,0.03
RX07002560,0100,0.214
RX07002568,0100,0.11
RX07002570,0100,0.098
RX07002587,0100,0.12
RX07002604,0100,0.102
RX07002630,0100,0.117
RX07002632,0100,0.154
RX07002648,0100,0.134
RX07002650,0100,0.16
RX07002658,0100,0.172
RX07002666,0100,0.739
RX07002668,0100,0.368
RX07002672,0100,0.192
207860297 ,0130,0.409
207860316 ,0130,0.532
207860322 ,0130,0.089
207860324 ,0130,0.177
207860359 ,0130,0.131
207860373 ,0130,0.31
207860393 ,0130,0.208
207860395 ,0130,0.233
207860402 ,0130,0.131
207860439 ,0130,0.238
207860447 ,0130,0.215
207860451 ,0130,0.098
207860500 ,0130,0.423
207860512 ,0130,0.33
207860520 ,0130,0.376
207860522 ,0130,0.185
207860531 ,0130,0.15
207860541 ,0130,0.066
207860545 ,0130,0.105
207860574 ,0130,0.018
207860604 ,0130,0.181
207860646 ,0130,0.145
207860686 ,0130,0.097
207860705 ,0130,0.19
RD07000023,0130,0.234
RD07000055,0130,0.094
RD07000070,0130,0.174
RD07000081,0130,0.114
RD07000097,0130,0.058
RD07000102,0130,0.1
RD07000309,0130,0.344
RD07000316,0130,0.208
RD07000327,0130,0.212
RX07000023,0130,0.072
RX07000024,0130,0.194
RX07000036,0130,0.166
RX07000043,0130,0.102
RX07000046,0130,0.312
RX07000053,0130,0.078
RX07000072,0130,0.03
RX07000073,0130,0.344
RX07000084,0130,0.184
RX07000087,0130,0.158
RX07000167,0130,0.119
RX07000176,0130,0.11
RX07000177,0130,0.276
RX07000179,0130,0.04
RX07000183,0130,0.148
RX07000190,0130,0.092
RX07000214,0130,0.224
RX07000240,0130,0.088
RX07000253,0130,0.254
RX07000254,0130,0.188
RX07000272,0130,0.19
RX07000281,0130,0.15
RX07000284,0130,0.291
RX07000304,0130,0.24
RX07000305,0130,0.078
RX07000329,0130,0.111
RX07000330,0130,0.195
RX07000331,0130,0.066
RX07000337,0130,0.214
RX07000338,0130,0.336
RX07000372,0130,0.142
RX07000391,0130,0.057
RX07000400,0130,0.08
RX07000404,0130,0.057
RX07000422,0130,0.046
RX07000429,0130,0.668
RX07000440,0130,0.146
RX07000445,0130,0.26
RX07000449,0130,0.102
RX07000460,0130,0.198
RX07000478,0130,0.132
RX07000484,0130,0.086
RX07000494,0130,0.034
RX07000497,0130,0.112
RX07000505,0130,0.106
RX07000517,0130,0.083
RX07000548,0130,0.104
RX07000562,0130,0.161
RX07000575,0130,0.066
RX07000583,0130,0.314
RX07000589,0130,0.15
RX07000616,0130,0.217
RX07000623,0130,0.096
RX07000633,0130,0.078
RX07000664,0130,0.356
RX07000669,0130,0.284
RX07000670,0130,0.136
RX07000680,0130,0.108
RX07000683,0130,0.122
RX07000692,0130,0.232
RX07000698,0130,0.115
RX07000703,0130,0.354
RX07000714,0130,0.072
RX07000715,0130,0.323
RX07000726,0130,0.25
RX07000735,0130,0.1
RX07000756,0130,0.227
RX07000768,0130,0.05
RX07000771,0130,0.064
RX07000775,0130,0.052
RX07000782,0130,0.104
RX07000814,0130,0.059
RX07000830,0130,0.06
RX07000838,0130,0.056
RX07000865,0130,0.22
RX07000872,0130,0.09
RX07000884,0130,0.23
RX07000901,0130,0.126
RX07000908,0130,0.214
RX07000916,0130,0.274
RX07000928,0130,0.162
RX07000952,0130,0.142
RX07000962,0130,0.262
RX07000963,0130,0.026
RX07000967,0130,0.62
RX07000969,0130,0.239
RX07000977,0130,0.08
RX07001044,0130,0.262
RX07001048,0130,0.16
RX07001054,0130,0.062
RX07001061,0130,0.986
RX07001075,0130,0.092
RX07001084,0130,0.18
RX07001093,0130,0.29
RX07001100,0130,0.23
RX07001113,0130,0.224
RX07001127,0130,0.094
RX07001168,0130,0.14
RX07001172,0130,0.224
RX07001211,0130,0.158
RX07001224,0130,0.224
RX07001226,0130,0.072
RX07001232,0130,0.182
RX07001235,0130,0.128
RX07001245,0130,0.03
RX07001248,0130,0.204
RX07001255,0130,0.148
RX07001260,0130,0.224
RX07001287,0130,0.246
RX07001291,0130,0.162
RX07001324,0130,0.114
RX07001327,0130,0.534
RX07001329,0130,0.044
RX07001331,0130,0.096
RX07001340,0130,0.824
RX07001345,0130,0.11
RX07001359,0130,0.198
RX07001376,0130,0.484
RX07001407,0130,0.072
RX07001411,0130,0.144
RX07001456,0130,0.09
RX07001499,0130,0.14
RX07001509,0130,0.154
RX07001524,0130,0.26
RX07001529,0130,0.182
RX07001532,0130,0.572
RX07001535,0130,0.34
RX07001536,0130,0.025
RX07001558,0130,0.23
RX07001574,0130,0.188
RX07001832,0130,0.34
RX07001838,0130,0.158
RX07001841,0130,0.154
RX07001865,0130,0.166
RX07001867,0130,0.12
RX07001893,0130,0.086
RX07001907,0130,0.436
RX07001910,0130,0.122
RX07001935,0130,0.154
RX07001945,0130,0.262
RX07001951,0130,0.08
RX07001961,0130,0.896
RX07001966,0130,0.094
RX07001974,0130,0.224
RX07002001,0130,0.254
RX07002014,0130,0.174
RX07002018,0130,0.07
RX07002029,0130,0.435
RX07002033,0130,0.193
RX07002042,0130,0.327
RX07002043,0130,0.13
RX07002054,0130,0.209
RX07002084,0130,0.218
RX07002104,0130,0.236
RX07002106,0130,0.034
RX07002113,0130,0.466
RX07002121,0130,0.208
RX07002128,0130,0.06
RX07002131,0130,0.136
RX07002142,0130,0.102
RX07002154,0130,0.894
RX07002155,0130,0.1
RX07002166,0130,0.26
RX07002167,0130,0.138
RX07002181,0130,0.224
RX07002187,0130,0.928
RX07002199,0130,0.153
RX07002200,0130,0.276
RX07002212,0130,0.056
RX07002223,0130,0.134
RX07002241,0130,0.386
RX07002245,0130,0.172
RX07002250,0130,0.138
RX07002262,0130,0.484
RX07002263,0130,0.12
RX07002268,0130,0.088
RX07002279,0130,0.11
RX07002293,0130,0.226
RX07002308,0130,0.14
RX07002345,0130,0.06
RX07002355,0130,0.124
RX07002366,0130,0.098
RX07002372,0130,0.12
RX07002387,0130,0.089
RX07002404,0130,0.081
RX07002428,0130,0.093
RX07002440,0130,0.18
RX07002454,0130,0.046
RX07002456,0130,0.136
RX07002479,0130,0.116
RX07002488,0130,0.16
RX07002489,0130,0.08
RX07002524,0130,0.09
RX07002529,0130,0.174
RX07002552,0130,0.056
RX07002560,0130,0.194
RX07002568,0130,0.102
RX07002570,0130,0.096
RX07002587,0130,0.116
RX07002604,0130,0.158
RX07002630,0130,0.1
RX07002632,0130,0.162
RX07002648,0130,0.096
RX07002650,0130,0.16
RX07002658,0130,0.18
RX07002666,0130,0.129
RX07002668,0130,0.616
RX07002672,0130,0.21
207860297 ,0200,0.658
207860316 ,0200,0.202
207860322 ,0200,0.533
207860324 ,0200,0.077
207860359 ,0200,0.137
207860373 ,0200,0.309
207860393 ,0200,0.121
207860395 ,0200,0.343
207860402 ,0200,0.198
207860439 ,0200,0.247
207860447 ,0200,0.243
207860451 ,0200,0.149
207860500 ,0200,0.419
207860512 ,0200,0.345
207860520 ,0200,0.943
207860522 ,0200,0.56
207860531 ,0200,0.187
207860541 ,0200,0.076
207860545 ,0200,0.045
207860574 ,0200,0.015
207860604 ,0200,0.08
207860646 ,0200,0.151
207860686 ,0200,0.1
207860705 ,0200,0.208
RD07000023,0200,0.136
RD07000055,0200,0.148
RD07000070,0200,0.269
RD07000081,0200,0.082
RD07000097,0200,0.428
RD07000102,0200,0.556
RD07000309,0200,0.116
RD07000316,0200,0.166
RD07000327,0200,0.0
RX07000023,0200,0.096
RX07000024,0200,0.218
RX07000036,0200,0.128
RX07000043,0200,0.104
RX07000046,0200,0.11
RX07000053,0200,0.604
RX07000072,0200,0.03
RX07000073,0200,0.233
RX07000084,0200,0.218
RX07000087,0200,0.818
RX07000167,0200,0.065
RX07000176,0200,0.13
RX07000177,0200,0.29
RX07000179,0200,0.044
RX07000183,0200,0.136
RX07000190,0200,0.08
RX07000214,0200,0.624
RX07000240,0200,0.104
RX07000253,0200,0.094
RX07000254,0200,0.186
RX07000272,0200,0.124
RX07000281,0200,0.097
RX07000284,0200,0.297
RX07000304,0200,0.172
RX07000305,0200,0.135
RX07000329,0200,0.084
RX07000330,0200,0.725
RX07000331,0200,0.066
RX07000337,0200,0.358
RX07000338,0200,0.587
RX07000372,0200,0.179
RX07000391,0200,0.057
RX07000400,0200,0.08
RX07000404,0200,0.055
RX07000422,0200,0.074
RX07000429,0200,0.234
RX07000440,0200,0.077
RX07000445,0200,0.106
RX07000449,0200,0.1
RX07000460,0200,0.158
RX07000478,0200,0.14
RX07000484,0200,0.54
RX07000494,0200,0.113
RX07000497,0200,0.785
RX07000505,0200,0.13
RX07000517,0200,0.192
RX07000548,0200,0.1
RX07000562,0200,0.119
RX07000575,0200,0.094
RX07000583,0200,0.281
RX07000589,0200,0.094
RX07000616,0200,0.215
RX07000623,0200,0.152
RX07000633,0200,0.119
RX07000664,0200,0.394
RX07000669,0200,0.278
RX07000670,0200,0.148
RX07000680,0200,0.124
RX07000683,0200,0.116
RX07000692,0200,0.197
RX07000698,0200,0.183
RX07000703,0200,0.135
RX07000714,0200,0.089
RX07000715,0200,0.438
RX07000726,0200,0.398
RX07000735,0200,0.086
RX07000756,0200,0.169
RX07000768,0200,0.147
RX07000771,0200,0.074
RX07000775,0200,0.052
RX07000782,0200,0.182
RX07000814,0200,0.091
RX07000830,0200,0.402
RX07000838,0200,0.054
RX07000865,0200,0.268
RX07000872,0200,0.15
RX07000884,0200,0.308
RX07000901,0200,0.052
