Transaction,Date,Price,Product ID,Quantity Purchased,Serial No,User ID,User Type
48,2016-07-02,2290.48,2266,6,1048,6024,n
49,,5597.04,2752,22,1049,5723,n
50,,3127.61,3380,15,1050,6904,n
51,2016-05-01,1512.68,3328,15,1051,7439,b
52,,2252.1,3848,19,1052,7316,b
53,2016-11-01,735.03,1578,33,1053,5085,n
54,,2428.91,268,19,1054,7075,n
55,2016-01-18,3299.83,504,12,1055,6793,n
56,,2671.52,311,3,1056,8587,n
57,2016-08-01,1102.48,893,16,1057,7792,n
58,,1543.97,2028,10,1058,7375,b
59,,3182.96,3047,16,1059,6764,n
60,2016-04-02,4273.33,4313,32,1060,8319,n
61,2016-01-16,613.9,4328,1,1061,7317,n
62,2016-04-01,1743.94,1476,37,1062,6040,n
63,,2450.77,2573,26,1063,5194,b
64,2016-01-31,4997.21,4735,7,1064,8132,n
65,2016-04-01,836.8,799,28,1065,7993,b
66,,2915.88,1558,9,1066,9046,b
67,2016-11-01,1787.69,3750,6,1067,8160,b
68,2016-01-18,175.55,2757,15,1068,9911,b
69,,2622.99,1084,3,1069,9541,n
70,2016-01-30,4443.75,4670,40,1070,6049,n
71,,640.85,3719,4,1071,8670,n
72,2016-01-26,5308.16,1013,17,1072,5371,n
73,2016-11-02,593.03,4328,34,1073,7234,b
74,2016-01-18,157.56,919,36,1074,7722,n
75,2016-08-01,6036.85,1675,35,1075,7236,n
76,2016-01-02,2857.18,822,9,1076,8482,n
77,2016-11-02,2444.47,3095,35,1077,6513,d
78,,2903.73,382,37,1078,8156,n
79,2016-01-26,,4363,20,1079,7054,d
80,2016-01-19,4437.66,3276,24,1080,6925,n
81,2016-01-31,1894.37,1146,6,1081,9005,d
82,2016-07-01,295.67,2844,39,1082,9107,a
83,2016-05-02,1470.64,2847,5,1083,8637,n
84,2016-11-01,1770.73,1546,6,1084,7930,b
85,2016-06-01,2736.28,1162,27,1085,9738,d
86,2016-04-01,1503.13,4827,23,1086,8221,c
87,,1471.08,5027,21,1087,9258,b
88,,2916.7,5089,10,1088,7193,b
89,2016-01-26,3999.93,4208,19,1089,5184,c
90,,210.47,955,35,1090,7825,b
91,,2691.32,2424,6,1091,9510,c
92,2016-01-30,928.17,4533,8,1092,5300,a
93,2016-08-01,501.64,484,34,1093,7914,d
94,,847.38,1320,29,1094,9725,c
95,,2824.32,1854,14,1095,6900,d
96,,5130.86,4261,23,1096,5814,b
97,2016-11-01,163.25,1947,16,1097,9351,a
98,,47.91,2141,34,1098,5226,a
99,2016-12-01,3786.12,4367,13,1099,7140,d
100,,562.3,416,29,1100,6838,c
101,,863.79,3040,23,1101,8241,c
102,2016-01-17,5706.9,2116,31,1102,7539,a
103,2016-01-31,2922.98,4040,13,1103,7405,a
104,2016-01-23,1891.94,2209,3,1104,5925,c
105,,2486.79,306,39,1105,6728,a
106,2016-07-01,595.68,1111,36,1106,7996,d
107,2016-01-30,1260.76,2265,5,1107,9198,a
108,2016-01-17,3996.32,443,11,1108,5495,d
109,2016-12-01,1789.68,2821,33,1109,5807,b
110,2016-09-02,4223.16,3999,4,1110,8903,d
111,2016-11-01,28.43,4913,37,1111,5691,a
112,,1753.95,5066,9,1112,6787,d
113,2016-01-21,284.71,4655,29,1113,6164,d
114,2016-06-01,1678.76,4261,18,1114,9002,b
115,2016-12-01,821.7,4861,4,1115,7471,a
116,2016-09-02,6227.4,544,9,1116,9884,a
117,2016-01-14,1294.33,3455,15,1117,7728,a
118,,6243.55,3921,23,1118,6076,a
119,2016-04-01,2481.21,1404,28,1119,7942,b
120,2016-01-28,1103.2,3627,27,1120,5869,a
121,2016-01-14,5666.39,213,21,1121,7272,d
122,2016-03-01,371.65,2894,37,1122,6926,a
123,2016-01-23,784.09,1950,7,1123,8281,c
124,2016-07-01,4760.48,2493,31,1124,8807,a
125,2016-01-30,,2633,29,1125,7491,a
126,2016-01-19,2783.28,2993,7,1126,7693,a
127,2016-12-01,1531.79,3775,19,1127,5711,b
128,2016-01-28,1570.25,890,27,1128,8055,c
129,2016-01-21,1564.09,404,10,1129,5730,b
130,2016-01-15,660.87,4891,37,1130,7761,c
131,2016-08-02,3834.46,4195,27,1131,9340,c
132,2016-05-01,301.41,4124,6,1132,7164,b
133,2016-11-01,1302.87,4083,12,1133,5433,d
134,2016-07-01,4548.26,3240,2,1134,7594,c
135,2016-01-15,3739.77,324,38,1135,5883,a
136,2016-01-16,3658.01,3201,25,1136,7941,c
137,2016-06-02,3919.57,301,14,1137,5409,b
138,2016-03-01,3875.69,1642,41,1138,7445,b
139,2016-07-02,764.41,3134,28,1139,7763,b
140,,3423.34,4590,3,1140,6617,d
141,2016-01-21,4483.53,2933,28,1141,8669,b
142,,2565.45,2567,36,1142,8442,b
143,2016-01-15,1846.94,1338,35,1143,8959,a
144,2016-07-01,3956.8,3144,6,1144,5376,c
145,,2291.24,4913,11,1145,7707,a
146,2016-01-14,779.14,1501,22,1146,5035,d
147,2016-02-01,4148.64,5090,22,1147,6994,d
148,2016-08-02,4270.71,4769,2,1148,6240,d
149,2016-01-01,4364.25,4004,22,1149,7101,a
150,,3793.28,4804,31,1150,7292,a
151,,1139.14,4726,15,1151,8133,b
152,2016-01-16,1246.86,3953,37,1152,8685,b
153,2016-07-02,774.25,2498,28,1153,8825,b
154,2016-12-01,2850.46,3059,20,1154,6549,c
155,,2622.57,1725,13,1155,9353,d
156,2016-01-28,1669.6,180,18,1156,9171,a
157,2016-03-02,299.95,1003,19,1157,7726,c
158,2016-12-01,1113.94,4249,2,1158,6358,b
159,,2259.51,4403,27,1159,7374,a
160,2016-01-14,1914.13,3956,40,1160,8449,b
161,,1716.75,1530,4,1161,9567,a
162,2016-06-01,3663.23,4286,7,1162,5102,a
163,2016-06-02,1617.25,1789,27,-1,5958,b
164,2016-12-01,498.76,3283,36,1164,6868,a
165,2016-03-01,779.64,1644,35,1165,8707,a
166,2016-05-01,70.07,4497,30,1166,7398,a
167,2016-01-29,1423.98,5041,20,1167,6191,c
168,2016-06-01,2611.31,4448,2,1168,7467,d
169,2016-06-01,4238.29,2886,40,1169,5849,d
170,2016-03-01,331.32,2463,10,1170,6844,a
171,2016-02-01,769.15,4559,16,1171,9231,b
172,2016-01-22,5132.46,4738,2,1172,7841,d
173,2016-06-01,5208.38,4629,28,1173,7363,c
174,2016-06-02,4788.02,3547,34,1174,9378,a
175,2016-08-01,274.12,2949,24,1175,7052,a
176,2016-01-18,2758.86,1593,2,1176,9932,d
177,2016-01-24,940.87,1279,9,1177,6177,b
178,2016-07-02,3906.9,613,38,1178,7632,c
179,2016-01-01,4407.33,318,13,1179,7228,b
180,2016-01-30,4277.2,2225,38,1180,8330,c
181,2016-04-02,2252.61,4243,30,1181,6407,d
182,2016-06-02,6706.61,1910,27,1182,5337,a
183,2016-05-02,3368.48,4724,12,1183,6062,c
184,2016-01-31,367.01,4084,24,1184,6757,d
185,2016-01-02,3395.56,375,17,1185,6589,c
186,2016-10-01,569.19,1707,21,1186,5065,b
187,,3044.96,949,30,1187,7669,c
188,2016-11-02,3540.18,4375,8,1188,7558,a
189,2016-09-01,2063.67,3933,22,1189,5046,b
190,2016-01-13,129.68,2311,12,1190,6149,a
191,2016-01-17,2838.42,882,17,1191,7505,a
192,2016-01-23,365.88,3375,17,1192,6011,c
193,2016-01-16,1466.05,3169,13,1193,7134,d
194,2016-04-01,892.59,1296,23,1194,9735,d
195,2016-03-01,1009.55,1279,27,1195,5221,b
196,2016-06-02,2601.94,548,6,1196,8139,c
197,2016-04-02,1387.53,518,14,1197,8513,b
198,2016-01-17,961.39,2200,7,1198,5453,d
199,2016-01-27,3003.37,683,19,1199,5063,b
200,2016-09-02,4184.95,3671,10,1200,5012,c
201,,4774.41,1101,4,1201,5931,a
202,2016-01-01,84.59,984,4,1202,8233,c
203,2016-12-01,167.28,282,35,1203,7345,c
204,2016-10-01,3227.12,2416,29,1204,9096,b
205,2016-01-17,402.05,2188,25,1205,5125,c
206,2016-01-30,2809.24,1748,33,1206,8326,b
207,2016-02-01,603.18,645,11,1207,5242,b
208,2016-01-21,2762.82,891,6,1208,7966,d
209,2016-12-01,1391.53,3722,17,1209,8366,c
210,2016-01-31,2023.84,497,16,1210,7770,d
211,2016-03-01,4523.3,4089,30,1211,7666,b
212,2016-01-29,3209.34,792,20,1212,5114,a
213,2016-08-02,4212.15,660,37,1213,9120,c
214,2016-11-01,1301.46,1835,8,1214,8267,d
215,2016-01-31,3376.99,681,7,1215,8427,a
216,2016-01-02,1082.66,1794,30,1216,9156,c
217,2016-01-31,976.34,2809,10,1217,5773,a
218,2016-04-02,1247.82,4205,2,1218,8710,b
219,2016-01-02,1742.54,2132,36,1219,7340,b
220,2016-06-02,5469.32,4989,15,1220,5766,c
221,2016-11-01,1213.74,4089,18,1221,5586,d
222,2016-01-02,1347.45,2006,41,1222,8135,d
223,2016-06-01,1045.41,3992,17,1223,8084,a
224,2016-05-01,2747.36,4155,9,1224,7851,a
225,2016-11-02,1389.54,4036,32,1225,7970,a
226,2016-01-24,3771.28,1290,32,1226,5442,a
227,2016-12-01,2947.3,4753,21,1227,6429,b
228,2016-01-19,1757.25,2998,1,1228,7676,a
229,2016-03-01,2329.99,3488,11,1229,7293,c
230,2016-01-30,2665.2,4308,33,1230,7632,b
231,2016-01-19,107.86,4179,13,1231,8962,a
232,2016-11-02,1691.91,4186,32,1232,6506,b
233,2016-06-02,6684.88,2276,40,1233,6774,d
234,2016-01-01,6611.18,634,10,1234,8574,a
235,2016-01-30,1140.85,4488,36,1235,6731,a
236,2016-01-15,4138.58,3608,34,1236,7802,c
237,,4677.98,1148,5,1237,5050,b
238,2016-01-14,1604.75,1189,28,1238,9346,d
239,2016-01-21,1529.72,3879,35,1239,5162,c
240,2016-04-01,851.69,237,12,1240,6176,b
241,2016-01-21,3132.44,4040,7,1241,7261,c
242,2016-07-01,4421.17,3850,24,1242,9384,d
243,2016-09-02,1947.93,2022,7,1243,7988,a
244,2016-11-02,477.18,931,11,1244,8969,d
245,2016-01-29,1513.03,3026,38,1245,7800,c
246,2016-01-19,2455.43,3244,8,1246,9361,c
247,2016-09-02,445.95,3605,41,1247,6072,c
248,2016-01-17,2133.73,3401,28,1248,9251,b
249,2016-01-21,215.38,767,9,1249,7200,d
250,2016-11-01,2197.8,2642,16,1250,6892,d
251,2016-01-26,4237.87,4106,23,1251,9411,a
252,2016-08-01,1743.3,1421,11,1252,9757,b
253,2016-09-01,955.31,3285,5,1253,8339,c
254,2016-05-01,366.26,611,12,1254,5222,b
255,2016-01-22,162.39,3449,16,1255,5843,a
256,2016-01-26,,3123,40,1256,7610,c
257,2016-01-25,2802.41,404,35,1257,9353,c
258,2016-01-31,541.7,3661,28,1258,6733,d
259,2016-01-16,1307.51,2221,41,1259,9089,a
260,2016-07-02,601.29,1578,22,1260,6161,a
261,2016-09-01,502.5,3323,25,1261,6162,b
262,2016-08-01,1895.75,2304,7,1262,6510,a
263,2016-08-01,20.65,2776,21,1263,6900,c
264,2016-01-19,6694.4,2023,36,1264,5630,b
265,2016-01-21,1258.52,2300,12,1265,8403,a
266,2016-04-02,94.14,3859,26,1266,7362,d
267,2016-06-01,205.49,2978,29,1267,7346,d
268,2016-03-02,5824.0,1981,25,1268,6599,d
269,2016-01-26,162.53,2283,22,1269,7824,d
270,2016-07-01,3036.7,1439,28,1270,9115,b
271,2016-05-01,1047.98,127,18,1271,7291,c
272,2016-05-01,3447.42,5083,29,1272,6526,d
273,2016-03-01,4020.1,3293,35,1273,6211,b
274,2016-07-02,3555.68,1852,36,1274,8787,d
275,2016-09-01,1363.57,3649,28,1275,8631,d
276,,1655.89,3237,41,1276,7634,c
277,2016-09-02,4266.19,517,27,1277,9787,b
278,2016-01-01,5332.81,436,6,1278,7277,b
279,2016-01-17,1217.57,1963,9,1279,5853,b
280,2016-07-02,1521.53,1876,12,1280,7487,b
281,2016-01-31,282.54,3792,17,1281,8756,a
282,2016-02-02,1215.73,183,27,1282,5140,a
283,2016-01-20,2749.44,594,7,1283,5085,b
284,2016-07-01,3947.66,627,32,1284,6005,c
285,2016-08-01,1933.41,607,2,1285,7606,d
286,2016-04-01,4489.51,2889,1,1286,9148,c
287,2016-10-01,4885.58,1406,34,1287,8960,a
288,2016-01-28,808.26,2158,27,1288,6925,d
289,2016-02-02,400.15,985,7,1289,8363,d
290,2016-04-01,3900.22,4343,27,1290,8165,a
291,2016-01-02,1449.42,1295,28,1291,9269,a
292,2016-01-16,908.67,4757,34,1292,9789,d
293,2016-09-02,1332.69,1907,30,1293,5638,c
294,2016-09-02,1968.67,1485,38,1294,9175,c
295,2016-01-26,2287.76,2900,20,1295,9947,a
296,2016-01-30,1147.66,4140,32,1296,6819,a
297,2016-01-19,1365.55,3823,36,1297,9580,a
298,2016-01-17,5266.64,4928,2,1298,9596,b
299,2016-01-22,2657.8,4365,1,1299,5507,b
300,2016-12-01,1367.44,4302,29,1300,6747,b
301,2016-01-02,364.45,3232,34,1301,5434,d
302,2016-01-26,335.96,272,15,1302,8148,b
303,2016-03-01,732.12,1121,27,1303,7039,b
304,2016-07-02,870.99,549,9,1304,7270,b
305,2016-03-01,353.7,2307,10,1305,6393,a
306,2016-01-14,3470.08,4834,15,1306,9694,a
307,2016-01-19,5814.32,2543,30,1307,6114,d
308,2016-10-01,3276.19,4318,30,1308,7690,a
309,2016-03-02,1641.14,2528,7,1309,5994,b
310,2016-01-29,3595.85,479,13,-1,6524,d
311,2016-01-26,174.17,4216,8,1311,9751,c
312,2016-01-01,3066.69,4760,12,1312,7570,a
313,2016-04-02,185.0,347,10,1313,5077,d
314,2016-01-01,1464.69,4231,12,1314,6235,b
315,2016-01-14,4118.86,526,3,1315,7447,c
316,2016-04-01,1593.02,858,5,1316,8823,a
317,2016-09-01,1638.27,2739,22,1317,7032,b
318,2016-04-01,4168.13,1739,29,1318,6513,b
319,2016-01-31,4438.66,1283,9,1319,7938,a
320,2016-09-01,1607.15,4205,3,1320,5112,c
321,2016-09-02,2866.46,4475,3,1321,5417,a
322,2016-09-01,7219.42,4748,10,1322,9237,c
323,2016-01-15,5850.33,2817,29,1323,7137,d
324,2016-03-01,1362.04,1432,4,1324,5316,d
325,2016-07-01,777.35,3824,17,1325,5072,c
326,2016-01-25,3942.08,123,32,1326,7664,d
327,2016-05-02,1488.56,1718,3,1327,8631,a
328,2016-01-22,1262.03,4186,14,1328,8298,d
329,2016-12-01,5426.26,957,20,1329,7909,a
330,2016-07-02,3984.94,1999,25,1330,6278,c
331,2016-06-01,5397.15,1898,2,1331,5228,d
332,2016-01-16,1946.98,4454,32,1332,7909,b
333,2016-01-29,1810.06,1593,22,1333,7338,c
334,2016-10-01,3674.76,2947,17,1334,6836,d
335,2016-06-02,3205.93,1471,3,1335,6872,b
336,2016-09-01,3164.4,5080,7,1336,6945,c
337,2016-01-02,1470.33,173,20,1337,8042,a
338,2016-01-16,1151.89,2238,27,1338,6306,c
339,2016-01-29,708.33,4143,13,1339,6208,b
340,2016-07-02,2029.32,522,36,1340,8711,d
341,2016-01-24,2675.46,3179,6,1341,7940,b
342,2016-01-13,2574.04,4034,17,1342,7792,c
343,2016-09-01,1569.34,3102,37,1343,6485,d
344,2016-01-19,3583.21,2493,25,1344,5633,d
345,2016-01-25,1534.62,4207,34,1345,5399,b
346,2016-04-02,2623.26,3772,17,1346,7329,b
347,2016-01-16,988.14,500,15,1347,7802,c
348,2016-05-01,5643.82,1919,16,1348,6373,c
349,2016-11-02,648.06,1409,37,1349,5144,a
350,2016-01-14,1005.41,4746,28,1350,8554,b
351,2016-06-01,3161.98,2136,29,1351,7293,a
352,2016-01-15,,3015,41,1352,5466,b
353,2016-02-02,873.84,4641,25,1353,6857,a
354,2016-02-01,4013.99,3175,21,1354,6982,a
355,2016-09-01,235.61,3697,26,1355,5464,d
356,2016-01-18,289.1,2674,31,1356,5954,d
357,2016-01-27,,4338,17,1357,8737,a
358,2016-01-28,916.09,2304,8,1358,8489,c
359,2016-01-18,1225.36,1550,11,1359,9864,a
360,2016-01-15,81.17,3580,24,1360,5525,b
361,2016-01-31,1441.5,1668,1,1361,7600,a
362,,2158.96,3131,7,1362,8106,a
363,2016-01-13,2545.39,2144,15,1363,8229,a
364,2016-01-21,836.72,1094,3,1364,8300,c
365,2016-01-25,4983.86,1209,34,1365,9236,d
366,2016-01-31,1093.98,5005,18,1366,7387,d
367,2016-01-25,304.55,1103,17,-1,6142,d
368,2016-04-01,2452.1,1645,28,1368,9598,c
369,2016-07-01,552.18,3122,41,1369,9367,c
370,2016-06-01,2117.98,1850,37,1370,7347,d
371,2016-01-31,2277.06,4412,12,1371,5316,a
372,2016-01-16,807.31,4540,8,1372,8342,c
373,2016-08-02,5913.94,2833,4,1373,5276,d
374,2016-01-02,2681.67,819,16,1374,6803,a
375,2016-11-02,4343.11,354,35,1375,5123,c
376,2016-08-02,2366.61,405,25,1376,7138,b
377,,1463.68,3509,18,1377,9606,c
378,2016-01-19,2717.01,591,5,1378,5336,a
379,2016-01-28,3478.74,1108,33,1379,8261,a
380,2016-01-20,2438.1,4679,40,1380,9717,a
381,2016-01-21,4984.1,515,26,1381,7100,d
382,2016-07-02,1581.66,2479,28,1382,6357,b
383,2016-11-02,2082.51,2685,36,1383,6193,a
384,2016-05-01,2029.96,2870,3,1384,9802,d
385,2016-01-27,1100.57,1405,25,1385,7044,d
386,2016-11-02,3275.59,2743,6,1386,5114,c
387,2016-05-01,998.84,2085,13,1387,8424,d
388,2016-07-01,2166.9,942,3,1388,9682,d
389,2016-11-01,2528.01,3718,5,1389,7720,d
390,2016-04-02,,668,1,1390,9397,a
391,2016-01-15,106.11,5034,5,1391,5902,a
392,2016-01-15,3204.11,3781,16,1392,6482,a
393,2016-01-02,3437.38,3073,2,1393,9066,c
394,2016-04-01,4236.55,3755,1,1394,7757,c
395,2016-01-17,380.59,3694,30,1395,8318,d
396,2016-07-02,405.69,529,24,1396,7136,c
397,2016-10-01,3663.0,4167,13,1397,7571,d
398,2016-03-01,2590.75,2246,37,1398,9420,c
399,2016-04-02,1977.82,451,39,1399,6937,a
400,2016-01-17,1308.47,2618,34,1400,7661,c
401,2016-03-01,5033.23,2767,33,1401,9375,d
402,2016-01-18,2979.95,3225,31,1402,6964,c
403,2016-01-30,1637.09,1732,26,1403,7660,d
404,2016-01-27,604.18,465,33,1404,6689,b
405,2016-08-01,3502.29,2925,18,1405,9966,a
406,2016-01-27,2890.47,4075,1,1406,5019,d
407,2016-02-02,1207.17,3846,34,1407,9324,a
408,2016-11-01,4929.65,3362,11,1408,8998,a
409,2016-07-02,3242.59,3614,36,1409,9548,b
410,2016-01-24,1620.27,1377,31,1410,6808,d
411,2016-03-02,2546.46,473,20,1411,5683,a
412,2016-05-01,1057.13,4030,11,1412,7465,a
413,2016-01-25,4396.79,1696,14,1413,8926,d
414,2016-01-25,3139.36,2209,9,1414,7307,d
415,2016-01-24,1674.88,564,11,1415,8094,d
416,2016-02-02,4737.99,573,7,1416,6884,b
417,2016-01-26,2553.28,4478,32,1417,9215,d
418,2016-01-24,3991.63,2809,38,1418,5870,d
419,2016-02-02,236.08,433,38,1419,8230,d
420,2016-01-28,2165.5,3110,10,1420,5637,b
421,2016-01-23,2187.59,3068,21,1421,6272,b
422,2016-02-01,1744.31,3999,20,1422,9554,d
423,2016-01-30,1144.19,2902,20,1423,7864,c
424,2016-01-31,226.17,2930,40,1424,6125,b
425,2016-02-02,,2303,16,1425,9824,d
426,2016-07-01,3779.97,1662,5,1426,7844,c
427,2016-05-01,2135.06,2090,33,1427,6932,d
428,2016-01-27,4506.33,4916,22,1428,8135,d
429,2016-01-17,1608.86,3417,20,1429,9168,d
430,2016-02-01,2018.76,4440,20,1430,8742,d
431,2016-01-19,3812.55,671,40,1431,9536,a
432,2016-01-14,858.28,2890,9,1432,7891,b
433,2016-04-02,6740.8,1982,38,1433,9930,c
434,2016-08-01,3113.84,1595,27,1434,9801,c
435,2016-01-27,1460.8,4541,16,1435,6214,d
436,2016-06-02,1027.12,1246,35,1436,7808,c
437,2016-09-02,1461.21,795,27,1437,5839,d
438,2016-01-15,411.43,3264,17,1438,5892,a
439,2016-09-02,4303.56,4245,38,1439,5165,c
440,2016-06-01,2310.91,561,31,1440,8769,a
441,2016-05-01,2602.67,3245,12,1441,5990,a
442,2016-04-01,2487.42,373,25,1442,7680,b
443,2016-01-24,3704.88,3401,1,1443,8389,b
444,2016-01-28,2227.45,808,8,1444,9680,a
445,2016-01-31,4410.94,1540,10,1445,9767,d
446,2016-12-01,3363.52,1927,31,1446,8191,b
447,2016-08-01,611.94,3989,32,1447,7389,d
448,2016-08-01,3117.48,2539,16,1448,5593,d
449,2016-11-02,639.69,3539,30,1449,8194,b
450,2016-08-01,2225.86,1053,29,1450,7457,d
451,2016-04-02,454.52,4250,22,1451,8281,c
452,2016-01-31,1140.92,1666,14,1452,7796,b
453,2016-01-16,2505.81,2446,30,1453,9168,b
454,2016-10-01,995.08,4109,27,1454,8037,c
455,2016-01-18,449.5,552,22,1455,6805,b
456,2016-11-01,5601.92,1433,19,1456,6811,c
457,2016-05-02,4694.7,3099,37,1457,7639,d
458,2016-10-02,154.33,1841,19,1458,5383,d
459,2016-01-15,723.31,4214,21,1459,7742,d
460,2016-12-01,1257.87,2366,28,1460,7318,c
461,2016-09-01,2946.78,1989,27,1461,8637,b
462,2016-01-02,6165.2,2893,6,1462,6985,b
463,2016-10-01,802.92,1918,27,1463,6894,a
464,2016-11-02,1539.62,4218,37,1464,9745,c
465,2016-01-24,2751.97,4695,12,1465,7957,d
466,2016-07-01,122.83,3541,6,1466,7602,d
467,2016-01-19,440.05,284,13,1467,5921,c
468,2016-01-22,2499.58,3412,19,1468,8215,b
469,2016-01-21,610.6,611,19,1469,5007,a
470,2016-03-01,1042.91,4750,36,1470,8326,b
471,2016-01-21,608.12,2946,39,1471,9663,a
472,2016-01-28,5028.45,4359,7,1472,5735,c
473,2016-10-01,5196.31,660,30,1473,6077,b
474,2016-01-16,293.14,1356,32,1474,8626,d
475,2016-12-01,2545.76,3165,14,1475,5994,d
476,2016-06-02,3963.09,3162,29,1476,8610,a
477,2016-01-19,3602.08,300,26,1477,7334,a
478,2016-01-16,2111.68,1112,23,1478,7209,b
479,2016-05-01,5433.75,4298,6,1479,5665,d
480,2016-11-01,4808.43,4184,25,1480,9986,c
481,2016-08-02,635.33,1845,40,1481,7577,a
482,2016-01-13,1890.68,624,28,1482,6897,b
483,2016-01-21,325.99,1759,28,1483,7256,b
484,2016-01-19,2535.54,2936,25,1484,8459,a
485,2016-08-02,1107.43,2540,40,1485,6316,a
486,2016-09-02,3565.3,4812,28,1486,5604,a
487,2016-01-14,2221.46,4159,20,1487,8483,d
488,2016-10-01,2289.23,3543,25,1488,6790,b
489,2016-01-29,1601.57,352,9,1489,5213,c
490,2016-06-01,3528.64,1786,23,1490,9650,a
491,2016-01-25,3204.31,2563,26,1491,5949,a
492,2016-01-16,2623.13,3100,40,1492,6061,d
493,2016-11-01,2081.28,3482,28,1493,7934,b
494,2016-10-01,4559.2,982,39,1494,6344,d
495,2016-01-25,4498.07,5028,32,1495,6222,d
496,2016-01-01,892.49,3466,28,1496,8790,c
497,2016-01-19,1233.47,4533,24,1497,7566,a
498,2016-04-01,1787.84,1745,19,1498,8720,b
499,2016-12-01,2862.97,3652,36,1499,6450,b
500,2016-01-23,2077.28,4367,7,1500,5697,d
501,2016-04-01,3253.75,3490,24,1501,8674,a
502,2016-01-18,830.83,3503,31,1502,9619,d
503,2016-08-01,2761.99,4372,23,1503,8513,c
504,2016-07-01,516.18,782,28,1504,9643,a
505,2016-01-30,416.68,1856,26,1505,8219,d
506,2016-01-26,,550,8,1506,7898,c
507,2016-01-02,3014.16,1451,30,1507,6528,b
508,2016-07-01,1840.53,1862,7,-1,7485,a
509,2016-11-01,2391.47,2721,10,1509,9594,c
510,2016-01-21,593.8,1106,7,1510,5513,a
511,2016-01-29,5879.59,1732,33,1511,6659,c
512,2016-01-21,2859.63,4723,13,1512,5155,b
513,2016-04-02,255.24,1507,19,1513,8423,d
514,2016-01-23,,2291,9,1514,8436,d
515,2016-11-01,3027.05,753,5,1515,9299,b
516,2016-01-01,600.22,1325,17,1516,5125,c
517,2016-01-15,2800.74,1990,19,1517,6154,c
518,2016-11-02,843.08,1853,20,1518,9685,c
519,2016-01-25,2405.32,1064,41,1519,9340,b
520,2016-01-23,2528.99,1194,36,1520,8732,b
521,2016-04-01,1390.4,2038,16,1521,8362,d
522,2016-01-01,1542.74,2832,3,-1,7580,d
523,2016-09-02,2030.31,541,34,-1,5181,d
524,2016-01-21,1008.93,2834,22,1524,5628,c
525,2016-10-02,823.15,2908,35,1525,5395,b
526,2016-01-24,3479.46,1005,3,1526,7024,b
527,2016-04-02,394.08,1146,9,1527,8536,d
528,2016-01-16,1507.47,2423,6,1528,5300,c
529,2016-11-02,1682.97,2553,20,1529,7306,d
530,2016-03-01,2031.54,695,9,1530,5223,b
531,2016-11-01,3590.69,2151,3,1531,5280,c
532,2016-01-25,2196.3,3254,22,1532,5146,a
533,2016-01-30,4520.24,4265,34,1533,7883,c
534,2016-10-02,402.27,2807,24,1534,9137,c
535,2016-12-01,1447.75,4480,39,1535,7652,b
536,2016-07-02,478.31,1741,5,1536,5292,b
537,2016-01-13,1744.51,4014,3,1537,8204,a
538,2016-08-02,1561.61,4065,22,1538,7198,c
539,2016-01-30,647.39,128,38,1539,8152,b
540,2016-01-31,3090.81,1761,15,1540,6807,a
